batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - 𝙹 𝙾 𝚈 𝙲 𝙴 𝙻 𝙸𝙽 💋,"serverlife, serverproblems, servertiktok, servers",lujanojoyce,146400,0,22000,849
1,1,original sound - Ethanrecaps,"scienceexperiments, fyp, usa_tiktok",ethanrecaps,351800,1100,119400,76100
1,2,original sound - ★ seplix,,brookemonk_,984800,2313,51000,1297
2,0,Take My Breath Away - EZI,,miami_bossbabe,46000,675,2963,979
2,1,original sound - daisysdays,"fyp, fyp%E3%82%B7, foryou, koy, emo, princess, goodgirl, police, chickfila, bffs",koy.rose,898400,1705,73900,3348
2,2,suono originale - Paolo Jackson,,jessdacostaa,304800,1146,34700,3784
2,3,original sound - Roman Corona,"funny, funnyvideos, scaryvideos",romancorona6,1100000,17000,101500,89200
2,4,original sound - IDK😫,"fyp%E3%82%B7, icespicemunch, icespice, edits, aftereffects, viral, blowthisup",frennazone,17900,374,3042,120
2,5,original sound - Alex,,vaynessvalery,245700,831,42000,6376
2,6,another love - ✨️,"pandaspans, tourettes, tourettessyndrome, foryou, awareness, tics, jawtic",thistrippyhippie,1400000,18700,94800,7238
2,7,Ick - Alt Ending - Lay Bankz,"hegavemetheew, makeuplover, trendingsound",krissleos,95200,1098,9666,645
2,8,original sound - Tay,"fyp, foryoupage, armystrong, talltok, fyp%E3%82%B7, xybca, viral, army",jfoggisback,2800000,43000,143300,35100
3,0,original sound - SadTexts,"text, textstory, sad, sadstory, fyp, promise, viral, minecraftparkour",sadness.text,186400,2175,24500,1101
3,1,original sound - Kervo.dolo,"fyp, foryoupage",kervo.dolo,1700000,9160,144600,11200
3,2,original sound - mckinley richardson,@ashlleyxrose,mckinleyrichardson,17400,184,4044,31
3,3,original sound - Cj So Cool,"fyp, fy",therealcjsocool29,921300,10300,75100,14300
3,4,original sound - vicmram,,lelasohna,34700,122,8460,260
3,5,original sound - Pilobolus,,pilobolus,14300,234,3005,304
3,6,sudno by molchat doma - audios x,"@djv1205, thundermansreturn, @paramountplus, @nickelodeon",kirakosarin,398100,1423,31000,677
3,7,original sound - ✪,,livluvlauggh,282700,1683,25900,2050
3,8,nonono - [☑️] CAPRI,"fyp, erich",fundsgettingrich,201400,0,17200,451
3,9,original sound - Lara,"fyp, skit",wittlelararose,17800,61,4289,41
3,10,You dont know me - ellery,,brookemonk_,2500000,16000,209100,5873
3,11,original sound - it’s your fav familyguy clips,foryoupage,tbhcacagirl,1500000,7483,113300,6644
3,12,soak city (do it) - 310babii,"school, dance, basketball, viral, christmas, fyp",trinbaby16,271700,0,33300,1203
3,13,original sound - 🇹🇳THE LANGUAGE LORD🇹🇳,"turkey, turkish, istanbul",merewana,175700,901,10400,493
3,14,original sound - 🥸,fyp,spammingisslamming,181500,378,17700,520
