batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - YahneOfficialASMRBarbie,"facecard, asmrbarbie, asmr, asmrglue",yahneofficial,2700000,6157,136500,14300
1,1,original sound - dayz915,"atodamadre%F0%9F%8F%A7, %F0%9F%A4%99%F0%9F%8F%BD%E2%80%BC%EF%B8%8F%F0%9F%8F%A7%E2%80%BC%EF%B8%8F%F0%9F%A4%99%F0%9F%8F%BD, dd%F0%9F%92%ABuniverse, wyoming",dayz.915,523500,3717,36600,143200
1,2,original sound - Sweetpea 😍 Her,,glxxmike,3300000,19700,266300,90000
1,3,original sound - selam🦋,"@sofi21325, selam_live, viral, foryoupage, fyp",selam_live,133100,73700,36700,291400
1,4,original sound - Alex,,vaynessvalery,245400,823,41200,6360
1,5,I Have No Enemies - ★DGK132105,,itsmiawaifu,45600,1075,22600,1527
1,6,original sound - ANGRY GRANDMA,"fyp, angrygrandma, comedy, shopping, christmas, viral, trending, makethisviral, funny, hilarious, trynottolaughtiktoktv",angrygrandma18,640200,7558,71600,126200
1,7,original sound - ren ( fan acc ),"capcut, @ptsmash, @okdunkz, @hubxmango, @ae.bases, @pedqrx, @7hanel, @.dilaurentisfx, _edits_tik_fp, edit, _edits_tik_, template, velocity, aftereffects, ae, charlidamelio",.edits_tikfp,95700,1505,45200,408
1,8,оригинальный звук - никто,,esterbron1,44100,372,141600,477
1,9,original sound - Soraya,"@dfyne.official, micdupworkout, micdup, gluteworkoutsforwomen, glutesworkout, fyp, glutesworkout",soraya.mai,158200,155,50500,978
1,10,original sound - Kenayo Frederick,"fyp, fu, freesaucegod, highlightertutorial",nhlfreesaucegod,274000,1645,93100,4375
1,11,original sound - Put A Finger Down,,jordansmikle,298300,34400,31500,209500
2,0,feel alive - Hardrock,"affliction, grails, cybery2k, thrift, fyp, tapout, mmaelite, mallgoth, sematary, hauntedmound, emo, y2kaesthetic, y2k, jnco",luvtothriftt,299400,1741,25300,1004
2,1,original sound - reddd - rediii,,nicollefigueroaa,1200000,2428,31900,1041
2,2,twirlanta - wzvrsl,"%D0%BF%D1%83%D1%82%D0%B8%D0%BD, %D0%BF%D1%80%D0%B8%D0%BD%D1%86, %D1%81%D0%B0%D1%83%D0%B4%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F%D0%B0%D1%80%D0%B0%D0%B2%D0%B8%D1%8F",karich127,252200,997,24100,9300
2,3,original sound - Dwill 2.0 😈😈,"@doublescorpioenergy, dragonbeardcandy",410dwill45tv,1200000,6310,71200,2160
2,4,original sound - Brooke Monk,@evangelinerules030407,brookemonk_,765000,2099,97900,1036
2,5,Suns - Official Sound Studio,"massage, massagetutorial, massageathome, calfmassage, legmassage, calfworkout, legcare, spamassage, healthy, massageusa, fyp",healingspa82,1300000,2561,501400,184900
2,6,Little Life - Cordelia,,madagraviet,2300000,10500,61800,34200
2,7,Lovin On Me - Jack Harlow,"jackharlow, lovinonme, cats, rap, hiphop, raptok, cat, catsoftiktok, fyp",chillestcat,1800000,20800,208900,78200
3,0,原聲 - Nature,"cozy, home",sce.nature,1600000,21700,117900,117700
3,1,original sound - Ronny Joseph Lvovski,"recipes, asmr, foodtok, fyp%E3%82%B7, primalgourmet, beef, carnemechada",primalgourmet,549500,4476,79400,12900
3,2,original sound - JustinFlom,,justinflom,1600000,8407,110300,26700
3,3,original sound - Paul,,asher.lara,255100,1435,15800,1185
3,4,原聲 - strawberryjam1986,"keyboardasmr, keyboard, customizedkeyboard, cutekeyboard, keyboardart, lofree",strawberryjam1986,595800,22200,90200,28400
3,5,original sound - harry daniels,"joshhutcherson, fivenightsatfreddy",harry.daniels,12800000,138800,1200000,254600
3,6,original sound - Krystalkmakeup,"@krystalkmakeupofficial, grwm, contouring, fullmakeup, gullglammakeup, contouringtutorial, makeuptutorial",krissleos,140900,442,20400,437
3,7,original sound - darceKNG.ae,"justinamiles, superbowl2024, superbowllviii, superbowlhallftimeshow, viralvideo, blowup, fyp",darcekng.ae,3100000,2443,173800,3657
3,8,original sound - callum🫠,"damagedhair, fyp, joke",swavvy_1606,255100,2262,17800,1132
4,0,original sound - NayNay 🤍,fyp,dajackson_5,629200,3242,79700,10900
4,1,original sound - Funny,,baby_ok7,3100000,34600,378400,81400
4,2,Sunday Kind of Love - Etta James,"fyp, foryou, novio%F0%9F%A4%8D, him, iloveyou, @xo.jb1",_.ellie09,167800,1021,23000,1210
4,3,som original - Mateus,"wxycba, fyp, fyp%E3%82%B7%E3%82%9Aviral, foryou, likes",_reposts.4u,1400000,33700,156900,33400
4,4,som original - ㅤ,,vanilsonnevess,4099999,49300,451800,130500
4,5,original sound - AkilCurrie,"michaelmyers, michaelmyersprank, michaelmversmask, scareprank, prank, drivethruprank",akilcurrie,654300,2553,81300,4814
4,6,original sound - It's Gone Viral,"truthordare, studentsbelike, schooldrama, schoolgossip",itsgoneviral,106100,687,7144,805
4,7,original sound - Teacher Tori,"test, professor, correction, school, teacher, englishteacher",teachertoristuff,795400,18400,30500,11300
4,8,original sound - f u n n y moments,"fyp, couple, couplecomedy",funnyviralvms,297400,6418,34100,3387
4,9,PISTOL PACCIN - NLE Choppa & BigXthaPlug,,cooljake_48,1400000,3724,102600,7996
4,10,GoodGooglyMooglyyy - Undergroundmusiclover,"foryoupage, viralllllll, fyp%E3%82%B7, viral, blowthisup, relatable",theyluvmadi_2,70800,286,6056,211
4,11,Aesthetic - Tollan Kim,"movie, tiktok, fyp, foryou",qy.movie,515100,2207,43000,937
4,12,original sound - TheRealQueenKema,boymom,therealqueenkema,308500,10900,29200,1107
4,13,original sound - Cops Story,"cops, copsoftiktok, copsontiktok, copstiktok, foryou, fyp",cops.story2,801100,14700,71200,21500
4,14,original sound - Tay,"fyp, foryoupage, armystrong, talltok, fyp%E3%82%B7, xybca, viral, army",jfoggisback,2800000,43000,143200,35100
4,15,original sound - mckinley richardson,@ashlleyxrose,mckinleyrichardson,17400,184,4044,31
4,16,original sound - xylo,"@stickyrice14, relatable, meow, asian, joke",calpzxx,121200,1681,14800,1923
4,17,nhạc nền - Salishi2,"salishmatter, hudsonmatter, saysaymatter1, saymatte, fatherdaughter, date, daughter, mydaughter, viral, trending, fyp, saysaymatter",salishi2,154900,341,12500,183
4,18,original sound - Raihann,,sylviaquezada619,5900000,33600,600400,114400
4,19,original sound - Debbie Valdez,"fyp, fyp%E3%82%B7, couple, couplecomedy, couple, foryoupage, relationship, couplegoals, viral, couplelove, trending, xybca, funny, couplestiktok, relatable, foryou, boyfriend",debbiekval,2300000,4644,181300,17300
4,20,original sound - emma,,choiemmaa,2400000,12300,146500,2665
4,21,som original - W&K,tutorial,twinmelody,514100,1006,16000,621
4,22,original sound - Tony & Angel,"flightattendant, rescue, scary, flight, airplane",tonylovesangel,202800,710,15500,530
4,23,Very Sad - Enchan,"wifi, wifimoney, fypdonggggggg, she, mad, videoviral, fypage%E3%82%B7, fypdonggg, fypage%E3%82%B7%E2%99%A1%E2%9D%A4%EF%B8%8F%F0%9F%A7%BF, video, man, sad, fyppppppppppppppppppppppp, videojuegos2023",videos7240,274000,4688,33800,6564
4,24,You Found Me - Instrumental Pop Songs,"viral, fyp%E3%82%B7%E3%82%9Aviral, valentinesday, bestgift, viraltiktok",anxietycouple,56500,161,4715,142
4,25,original sound - Slimmerjimmer,"gnb, foryoupage, valentinesday",britney.official,469800,783,14700,2030
4,26,оригинальный звук - ㅤㅤㅤㅤㅤㅤㅤ,"diamantblazi, seckoff, bball, basketball, fyp, dance, gamewin, gameday, viral, foryou, trend, floridabasketball, florida, usa, usabasketball, trio, dunk",diamantblazi,27800,181,1978,207
4,27,Jealous - <3,fyp,littlemissscorpioo_,459400,3306,34900,945
5,0,Aesthetic - Tollan Kim,"@petalsonthewind, kneelingchair, backpain, backpainrelief, backpaintreatments",sleekform,251400,755,24000,9857
5,1,original sound - Blue | B1G Family🏂,"bigbutler, bigbluebagg, fyp",b1gbluebagg,278000,1921,24900,11200
5,2,original sound - Clara Hanna,", shewasafairy, swedishaccent, stitch, funnyaccent, europeaninusa, moveabroad, internationalcouple, scandigirl, swedishgirl, foryou",dolifewithclara,14700,306,558,192
5,3,The Journey - Sol Rising,"borderlinepersonalitydisorder, remissionbpd, favouriteperson, healing, traumatok, splitting, bpdawareness, bpdtiktok, bpdawareness",bpdrelatable,141300,955,30600,23600
5,4,original sound - maxpreps,"studentlife, highschoolsports, basketball, highschoolbasketball, ick, annoying, viral",maxpreps,64700,219,3382,520
5,5,original sound - _lortinkyy,@msb_rayshawn,_lortinkyy,1700000,16800,116300,69700
5,6,I get krazy - The real Huey Freeman✨,"4u, trend, dontsplitthepole, viral, relatable, loggingoff, c4s",destinysuzanne,259000,1623,13100,6639
5,7,sonido original - Tom,"fyp, christmasbreak, ontario, foryou, school",defnottresha,87300,390,4437,227
5,8,Pretending - Charlie,"bpd, borderlinepersonalitydisorder, mentalhealth, lgbt, bpdtok",kyleerackam,46800,724,11500,3175
5,9,original sound - stitch lovers,"foryou, fyp, explore, viral, cupcut, liloetstitch, stitchfan, stitchcollection, stitchandangel, stitchmemes, stitchlovers, liloandstitch, stitchuff, stitchandlilo, stitchstuff, cartoon, stitchkindness, disney, stitchtumbler, collectionstitch",valentine.stitch,46200,764,7287,721
5,10,original sound - Izzy Tube,@dayymein,izzy.tube,998800,12700,59800,58100
5,11,Baby Elephant Walk - Henry Mancini,"@hartperformance, gym, gymhumor, fitness, gymfail, personaltrainer, gymbuddy, gymbro, legday, legdaybelike, legdaybestday, gymfail",dailyjlh,18200,49,338,85
5,12,Get In With Me - bossman._dlow,"fyp%E3%82%B7%E3%82%9Aviral, xybca",mrkrashout1k,401400,2494,24800,2001
5,13,suono originale - Matteo Gallazzi,"gymnastics, artisticgymnastics, ginnasta, ginnasticaartistica, foryou, fyp, viral, ginnastica, sports, beam, blackout, carlottaferlito",matteogallazzi,1200000,1943,33300,4174
5,14,original sound - Erasmo,"fyp, foryou, foryoupage, fyp%E3%82%B7",erasmogrc,1200000,4516,75700,14800
5,15,original sound - Jen Jen Gomez,"fyp, viral, viralvideo, momsoftiktok, laugh, funnyvideos, prison, prisonrules, femaleprison, prisontiktok, prisontok, prisonlife, prisoner, inmate, inmates, prisonbreak, prisonstories, storytime, storytelling, funnymoments, superstitions",jenjen.gomez,263300,2563,20200,7949
5,16,original sound - Sickickmusic,"beatboxingfitness, dancefitness, weightloss, athomeworkout, fitness, cardio, dance",beatboxingfitness,9421,37,1463,247
