batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Meow - Dust☆,,brentrivera,255900,514,14500,1406
1,1,my humps x barbie girl remix by clouds.s0ftt - zai™,"foryoupage, viral, 3kaidenn",3kaidenn,1000000,29500,97700,25200
1,2,original sound - KEEMOKAZI,onthisday,keemokazi,301000,1716,31800,1018
1,3,Supernovacane - Marshmello,"marshmallow, cake, smores",cookingwithmarshmello,505700,5938,38800,1371
1,4,she wanna go viral - libby reynolds,chango,juhmazzocco,475100,590,18800,1057
1,5,original sound - KC,"northwest, kimkardashian, kardashians, fyp",kardahiansclips,1600000,6775,69200,11700
1,6,original sound - Luke Davidson,,lukedavidson_,471100,1769,40500,2156
1,7,original sound - user58099549102,"stopvaping, novaping, chrisgonecrazy, fyp",chris_gone_crazy00,35300,356,4019,325
1,8,original sound - Lady-Nneka,"@burnaboyofficial, concert, burnaboy, cologne",nnekamichel,19400,130,327,50
2,0,original sound - gianna,screentimecontrol,giannamjoyce,223200,1909,63600,1746
2,1,IT GIRL x HOLLABACK GIRL by ALTÉGO - ALTÉGO,@iammarcohall,brookeashleyhall,59200,152,2201,272
2,2,original sound - Goldenfilmz🎞🌼,,nikadiwa,161800,905,13500,998
2,3,original sound - PrettyXBoi,,prettyxboi,321000,2983,39700,3812
2,4,Photograph - <3,"@simplesentiments, kanebailey",officialkanebailey,20200,97,1940,79
2,5,original sound - Isaac & Andrea,"fyp, foryou, game, funny, couple",isaac.and.andrea,40600,48,2052,43
2,6,original sound - 🪷,"foryou, viral, disneyedit, moana, foryoupage, viixlen, fyp",viixlen,140700,32100,50300,7379
2,7,original sound - Wisconsin Football,"teachertok, teachersoftiktok, swifttok",anatomywithmrs.s,338500,1037,19000,1414
2,8,Dandelions (slowed + reverb) - Ruth B. & sped up + slowed,"fyp%E3%82%B7, trending, viral, couple, couplegoals, love, boyfriend, themacfamily",themacfamily,93700,632,8892,312
2,9,original sound - Joey Swoll,"gymtok, gym, fyp",thejoeyswoll,116400,424,4612,68
2,10,original sound - SunshineJazzy ASMR,"@tish_2u, ediblenails, mukbang, ediblenailsasmr, asmrlive",sunshinejazzy17,212200,1375,17800,864
2,11,original sound - _cariikreationzz,"likessssssssssssssssssss, zyxcba, editzzz, vsp, fyp, carii",_cariikreationzz,16,3,1,1
2,12,Mega Magrão Eu Tô Com os Cria - Dj Bruninho Pzs & Dj Mano Lost,,sensatajapa,113300,661,8524,1082
2,13,original sound - Laro Benz,"larobenz, viral, blowthisup, fyp, lilversachi, lilversachi, relationship, funny, laroandsachi, prank",larobenz,33400,352,4164,562
2,14,original sound - Sai Datinguinoo,"fyp, foryou",ryang05,57100,8309,11400,9935
2,15,original sound - Barstool Sports,@loweringthebar,barstoolsports,456800,3185,33900,8487
2,16,original sound - Animal Kingdom,"gsd, gsdoftiktok, germanshepherd, germanshepherdsoftiktok, aggressivedog, aggressive, doggrooming, dogbath, tutorials",animalkingdomdoggrooming,812500,3315,18300,2855
2,17,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"couple, fyp, prank",isaaccervantes9,116400,224,7954,554
2,18,som original - marcelo,"relatable, funny, typ, bigfamily, familyof10, momof8, foryou, foryoupage, largefamily",the.queensfamily,74600,165,2552,258
2,19,original sound - oliverkowal,"fyp, foryoupage, viral, basketball",oliverkowal,33600,115,1981,43
2,20,original sound - Lolo,"fyp, lolodee",thelolodee,38300,894,2293,600
2,21,original sound - Snow.bunny.isla,"outdooradventures, offroad",snow.bunny.isla,3887,17,181,36
2,22,original sound - AMYYWOAHH,"treedollar, window, balloon, kids",amyywoahh,31000,258,3079,80
2,23,original sound - SHAZ,"bronx, fyp%E3%83%84, fyp, shazdelicious",shazdeliciouss,2000000,19200,176500,75400
2,24,original sound - Mariah and Bill,,mariahandbill,123200,304,9263,306
2,25,original sound - David Lawson,,brookemonk_,1100000,6352,80100,13900
2,26,original sound - D AND LISH,"dnlish, dnlishworld, foryou, relatable",dnlishworld,5100000,33900,573100,52700
2,27,FREAK - Dababy,freaktikok,dababy,1400000,5430,59700,7166
3,0,original sound - Jadetooshort_,"foryou, foryoupage, school, fyp",jadetooshort_,0,5166,126700,9186
3,1,Love You So - The King Khan & BBQ Show,"fyp, viral, valentinesday, boyfriend",andrea.lopez44,46700,150,3744,371
3,2,People used my sound Question Mark - aeirein,@iammarcohall,brookeashleyhall,247000,524,11800,825
3,3,original sound - Jazlynn.oats,@senior_savage21,jazlynn.oats,0,2557,59900,10700
3,4,"Sleigh Ride (Just hear those sleigh bells jingling, ring tingle tingling too) - The Ronettes",,keemokazi,97100,1895,7093,935
3,5,original sound - KEEMOKAZI,,keemokazi,0,2582,54600,840
