batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - dayz915,"atodamadre%F0%9F%8F%A7, %F0%9F%A4%99%F0%9F%8F%BD%E2%80%BC%EF%B8%8F%F0%9F%8F%A7%E2%80%BC%EF%B8%8F%F0%9F%A4%99%F0%9F%8F%BD, dd%F0%9F%92%ABuniverse, wyoming",dayz.915,522799,3714,36600,143000
1,1,original sound - Syinite,"fortnite, fortnitebr, fortniteclips, gaming, fortnitefunny, fortnitememes",syinite,383100,2170,110200,6944
1,2,original sound - 🤟🏻Jurassic world🤟🏻,"volcano, mashedpotatovolcano, mashedpotatovolcanowithbroccolitrees, yummy, @wesintn",hayleyintn,755900,9319,81500,80500
1,3,original sound - ⭒,"icespice, munchkins, icespicecult, spicecabinet, smoochspice, fyp",smoochspice,76100,190,6425,169
1,4,original sound - Michael And Friends,,michaelvufriends,168900,14900,18200,21900
1,5,original sound - Paul Vu,,paulvutv,157100,9556,25000,14200
1,6,original sound - We_Tha_Future5,"fyp, viral, content, viraltiktok, foryoupage, fingerdown, mean, relatable",we_tha_future5,32500,4134,4811,2361
1,7,they snubbed rhea seehorn - kim wexler’s wife 🇵🇸,"tall, tallgirlproblems, tallpeopleproblems, height, tallgirl",kiley_langille,999,40,143,4
1,8,original sound - deandreknowles96,,novukaa,293700,1226,17100,772
1,9,original sound - ANGRY GRANDMA,"fyp, angrygrandma, comedy, shopping, christmas, viral, trending, makethisviral, funny, hilarious, trynottolaughtiktoktv",angrygrandma18,640700,7563,72000,126400
1,10,original sound - Mr. There it go,"snowboardinggirl, skiergirl, gondola",venessanutz,297800,985,59100,4124
1,11,original sound - CAITLYN JAYE,,caitlyn.jaye,285100,2351,13000,1143
2,0,original sound - Tyler Oliveira,,tyler.oliveira,63600,430,5574,108
2,1,original sound - Volume Up,"foryou, fyp%E3%82%B7, viral, dogs, dogsoftiktok, puppylove, foryoupage",volumeupvids,1100000,12200,89500,54100
2,2,original sound - ✝️,,christian.chronicals,757300,40000,75300,5619
2,3,original sound - EX7STENCE™,"fyp, qrxcba",qrxcba,5500000,68500,455200,76900
2,4,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,,lindang2030,54800,2186,21300,1012
2,5,bodak yellow - ☆ *. ¡!,,andreas.is.mine,11,3,0,0
2,6,original sound - Date Right Stuff,fyp,daterightstuff,242500,3864,23500,6533
2,7,original sound - Pst. Solomon Solomon,,braids_by_michelle_,2700000,61200,109000,5131
2,8,original sound - Malik Tahir Awan,"foryou, usa%F0%9F%87%BA%F0%9F%87%B8, foryou, fyp, trending, @vfxmagicvideo, @sameer.khan4195, @kashif09official1",tahirawan3203,280,114,24,1
2,9,original sound - dances.4uu.to.learn,"fyp, viral",chaci.rae,173,2,1,0
2,10,original sound - Meme Hub 😂🤣💀,"xyzbca, foryou, difficultchallenge%F0%9F%98%82, meme, viraltiktok, capcut, fyp%E3%82%B7%E3%82%9Aviral, blowup%3F",memehubofficialaccount,4300000,33000,625300,143000
2,11,original sound - S7LID,,suga___sweets,142800,784,12800,345
2,12,original sound - Thomas wu,,infamous_wu13,67900,5024,7163,86
2,13,original sound - alexbreakshisback,"backcrack, gym, stretch, gymhumor, stallbars, fyp",lamainethetrain,556000,4948,56700,18400
2,14,Originalton - Tina Holzer,"ashnikko, ashnikkoconcert, ashnikkoberlin",wyndprinzessin_,71700,73,4713,559
2,15,sunet original - Victor drx99,,iamtherealrichgirl,130600,586,2868,172
2,16,original sound - Brett Neustrom,,brett_neusty,6300000,16000,303300,41600
2,17,Went Silly - King Von,"robloxhoodgame, robloxhoodrp, kingvon, oblock, cheating, ak",krazybando,12600,475,2684,266
2,18,original sound - alexbreakshisback,"school, funny, bestfriend, viralvideo, blowthisup, fyp, foryou, foryoupage, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral",liam_donley,1500000,38900,119600,25600
2,19,original sound - Mixsa_mi,,mixsa_mi,549000,4093,67300,2112
2,20,original sound - SouthernBoyzOutdoor,"fyu, jambalaya, louisiana",southernboyzoutdoors,1700000,16900,113300,36600
2,21,original sound - MOONTELLTHAT,,moontellthat,1600000,10200,112300,19300
2,22,"Beethoven's ""Moonlight""(871109) - 平松誠","911calls, 911, fyp, prison, jail, usacrime, crimestory, tvshowclips, documentary, crime, truecrime, usa, crimestory, crimestories, capcut, news, usanews, crimenews, fyp, baby, mother, foryou",movieclip2325,255400,824,13100,1577
2,23,original sound - Ashinkashe,@enhypen_12conect,zhilxr,40300,1367,5185,329
2,24,original sound - Chris and jasmin,"surprise, drama, fyp, viral, trending",chrisandjasmin,13800,334,1755,207
2,25,original sound - Slim 199x,"fyp%E3%82%B7, dance",thomasharris21,239500,7901,30300,27400
2,26,original sound - ❥ 🇪🇸◟خويلد ؟,"pianogirl, pianoteacher, biden, prettybabe",torypiex,182900,1349,24700,1514
3,0,original sound - ZARBO,"hair, hairtransformation, damagedhair, hairdamage, hairrepair, haircare, haircareroutine",moniquemrapier,172400,683,20600,993
3,1,original sound - Movie Maniacs,,moviemaniacs,418900,4013,24100,2995
3,2,original sound - Nira 💕,"barriodelosjudios, recorrido, santodelahorro, uruguay, montevideouruguay, montevideo, ahorro",miss.niraa,20800,256,6069,3242
3,3,original sound - Nicole | Financial Adviser,"parenthumour, parentsoftiktok, toddlermom, fyp",moniquei8,81300,470,3406,2014
3,4,Country Girl Van Bloem - Dodo Nyoka,"@moniquecoetzee93, hatersgonnahate, @dodonyoka_music, bringon2024, goodbye2023, 2023, uk, vlogtok, viral, tiktokingeruk, southafrica",theoriginalkayleerryan,4719,175,182,20
3,5,original sound - MONIQUE,"wlw, wlwcouple",_jsmnq,31700,141,1945,171
3,6,original sound - New York Mickey,"duet, oprahwinfrey",openmichero,734700,8617,40900,10400
3,7,original sound - Juneih,fyp,gelaeating,128500,3679,6721,1016
