batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Mi Kryptonita - Doble ONE Flow Letal,,itsedwinceron,68600,372,4582,417
1,1,original sound - fr0sty_rick,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,280800,629,15600,166
1,2,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,,sabyhesri,163400,1746,19200,343
1,3,original sound - Zach Choi,"tiktokfood, asmr",thezachchoi,378000,1219,28800,2686
1,4,What's Luv? (feat. Ja-Rule & Ashanti) - Fat Joe,@bbranson8,skittles_tastetherainbow,47100,251,5630,635
1,5,original sound - grrr ʕಠᴥಠʔ - lisa ʕಠᴥಠʔ,"foryou, newnails, droppedmylipstick",lalisalalaland,2900000,14400,177900,13900
1,6,original sound - Didios,"text, boys, advice",didiios,64599,5640,12100,30100
1,7,original sound - Lizzy,"doingmynails, gelextensions, athomenails, nailapplication, mfnails, valentinenails",lizzymwong,380500,489,14800,232
1,8,2Humpy is Back - tyyslatt,,c4pr1i,335800,2027,40800,787
2,0,running through my mind - 🫵🏾,,theerealnettee,44300,238,5726,143
2,1,original sound - Salah Brooks,,salah,21200,219,388,14
2,2,original sound - Fishingarrett,"snake, fyp, foryou, foryoupage, wildlife, everglades, yoink, professional, educational, frog, beautiful, alligator, crocodiles, foryourepage, feet, swamp, conservation, night, wild, animal, biodiversity",fishingarrett,234500,1082,10100,1982
2,3,sonido original - Soy_marcela,,soy_marcela4,1500000,21100,145100,54100
2,4,Thank You for Being You - OctaSounds,"film, movie, foryou",xiwangnenghao,58900,230,5044,834
2,5,sonido original - Mauro Rossiello🪬,asmr,maurorossiello,20900,621,1820,513
2,6,Ick - Alt Ending - Lay Bankz,,lexibrookerivera,1600000,8172,120300,10300
2,7,original sound - Jasmin & Julio,"challenge, matching, matchthecolor, waterbottle, colors, coupleschallenge, games, marriage, husbandwife",jasminandjulio,218200,602,8632,1383
2,8,original sound - Diary’s Grwm,"bubbleambassador, bubblegift, unboxing, bubble, skincare, fyp, diarygrwm3, diary, explore, facecare, products, skincareproducts",diarygrwm3,88300,1483,14100,338
