batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Lucas and Marcus,,dobretwins,351000,1908,25900,636
1,1,original sound - Whistle,"fyp, explore, apple, tesla, cybertruck, applevisionpro",whistle,453100,5707,33500,13800
1,2,original sound - jovynn,,redhairgorl,59700,158,7853,139
1,3,"Automotivo XM, Taka Taka Taka Tá - Dj Brunin XM & Mc Lullu & Mc Erikah & Kinechan",,aricryztal,320900,1146,36200,1621
1,4,suara asli - bomba,,carlaavalverde_,664900,1484,65000,5566
1,5,Queen of Disaster - fandY,,neevaaada,15100,94,829,46
1,6,Cintureo - Remix - jey one & Yoan Retro,"dembow, parati, fyp",alexandrapujante,749100,2366,57800,2947
2,0,original sound - Lukenizzy,"fyp%E3%82%B7, couplestiktok, couples, funny, fyp%E3%82%B7%E3%82%9Aviral, lukenizzy",lukenizzy,709000,3060,62600,5133
2,1,original sound - Anna Kat,"tvshow, tiktok, fyp",tkdyorio,345000,972,28900,384
2,2,follow Shalom Margaret on Spotify - shalom margaret,"lightskin, foryoupage%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F",nottherealmar,146900,16800,21400,838
2,3,original sound - Dr.Cracks,,dr.cracks,17200000,116000,1200000,593500
2,4,sonido original - LyricsSpain2.0,"@tereesarodriiguez_, fyp, trend, dancechallenge",imjane___,153900,184,20200,695
2,5,original sound - KasperHeerfordt,"cringe, dance, prank",kasperheerfordt,2700000,9628,168200,23800
2,6,La Culebritica - Grupo 5,"bloopers, fyp%E3%82%B7",backupfordezera,1300000,7837,121100,3710
2,7,Dandelions (slowed + reverb) - Ruth B. & sped up + slowed,"fyp%E3%82%B7, trending, viral, couple, couplegoals, love, boyfriend, themacfamily",themacfamily,351000,2927,27800,9836
2,8,i own seth - okayjordan💫,theonlyfamousbrian,onlyfamousbrian,1700000,15900,109300,83200
2,9,broken clocks jersey club - Ali Beats,,weloveody,139400,342,10200,583
2,10,original sound - TheRealQueenKema,boymom,therealqueenkema,309600,11000,29400,1111
2,11,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,,ravevanias,1200000,2133,72100,7324
2,12,Love You So - The King Khan & BBQ Show,,fosddddooo11,19600,4358,7807,6988
2,13,original sound - user73102169903,,martassuw,31500,3116,1475,331
2,14,Cintureo - Remix - jey one & Yoan Retro,"fyp, viraltiktok, paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii, trend, viralvideo, tiktok, viral, trending, parati",fabi23.0a,11000,79,1657,70
2,15,Original Sound - Unknown,"fyp, besito, parati, foryou",paamninii,521200,673,49500,2135
2,16,Agora é Tudo Meu - DENNIS & MC KEVINHO,"parati, a%C3%B1a%C3%B1ais",louisvillamizar,93900,311,4076,210
2,17,son original - RAPoXygène,"fyp, foryou, viral",larissatrofino26,33600,45,5066,88
2,18,je te laisserai de mots - ☆☆,"motivation, inspiration, love, hardtimes, lovinglife",dailymotivationcult,4300000,352300,964600,113200
2,19,original sound - ashteroyd,"callofduty, mw3, wz3, warzone",ashteroyd,522400,2027,60300,1955
2,20,That's My Best Friend - Tokyo Vanity,"fyp, bestfriend, thankful, 222",aylanenad,1500000,8693,135000,14800
2,21,original sound - Didios,"random, facts, girls",didiios,79600,3277,7847,23400
2,22,original sound - Tana Mongeau,,tanamongeaulol,4500000,39900,255400,162300
3,0,original sound - animal commentary,"trend, vrial, tiktok, foryoupage, fyp, seaworld, animalworld, amazinganimals",animal.commentary5,1000000,11200,76400,33600
3,1,original sound - @nana😘,fyp,saniyaha,271800,1100,50300,1657
3,2,original sound - f u n n y moments,"fyp, couple, couplecomedy",funnyviralvms,284300,6149,29400,4400
3,3,original sound - Dayquan & Arianna,,dayandari,562200,2200,45000,2939
