batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Cha Cha - ZEDDY WILL,dothechacha,bebopandbebe,102500,2366,9904,1046
1,1,original sound - fr0sty_rick,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,280800,629,15600,166
1,2,original sound - ABKYS,,aubreykeeyyysss,30400,1340,1129,120
1,3,original sound - ℒ𝒾𝓁𝓎⸆⸉,"@plmakeupacademy, @glowrecipe, @bubble, @lorealparis, @makeupbymarioo, @tarte.beauty, @bossupcosmetics, plouise, plouisemikayla, makeup, grwm_aesthetics, grwmroutine, grwmroutine, grwmmakeup",grwmwithlily8,50600,2827,4484,769
1,4,original sound - camdenmusique,,camdenmusique,1800000,23400,148700,9258
1,5,original sound - Gael and Ale,"couple, couplegoals, funny, fyp, toxic, gaelandale",gaelandale,1700000,5851,204200,27200
1,6,original sound - Brooke 👩🏼‍🎤,,diamantblazi,36100,456,2922,357
1,7,original sound - ice spice,"seeothersodas, ad",icespicee,278600,1697,18500,864
1,8,original sound - Tk 💕,"fyp, trending, dogsoftiktok, foryoupage",tikaramonee16,3700000,21900,280600,66500
1,9,original sound - Amy 👩🏼‍🍳,"ghanatiktok%F0%9F%87%AC%F0%9F%87%AD, canadatiktok, ghanafuodotcom, ghanaian, ghanafood, ghanamusic, ghanaianfood, ghfoods%F0%9F%87%AC%F0%9F%87%AD%F0%9F%87%AC%F0%9F%87%AD%F0%9F%87%AC%F0%9F%87%AD, ghfoodie, remiespices, chale, ghanatiktokers, ghana, accraghana",servedbyamy,44100,382,1125,273
1,10,original sound - Sam Middleton,"glitter, twins, funny",coupleofaholes,539500,1455,22300,3983
2,0,UKRAINE - Jay Hound & Jay5ive & SweepersENT,"fyp, pov, viral, marunyc_",marunyc_,2000000,12500,209400,7656
2,1,"Automotivo XM, Taka Taka Taka Tá - Dj Brunin XM & Mc Lullu & Mc Erikah & Kinechan",,meeynara,803500,6528,114400,7756
2,2,Ice On My Baby (feat. Kevin Gates) (Remix) - Yung Bleu,,riiofficiiall,201300,388,18200,425
2,3,original sound - Matt Taylor,,mattheperson,711500,5076,49400,6128
2,4,original sound - nick.digiovanni,,nick.digiovanni,10800000,221200,1000000,89100
