batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - YahneOfficialASMRBarbie,"facecard, asmrbarbie, asmr, asmrglue",yahneofficial,2700000,6199,137900,14500
1,1,original sound - speed UP songs,"geekedup, dance, minnesota, fyp",emersonrock,173800,349,14500,271
1,2,original sound - ItsAndrewz🥴,,itsandrewz,631900,5658,82300,12900
1,3,original sound - Curtis Charles,"dance, isabellafro, girls, couple, singleladies, fyp",isabell.afro,360800,1503,17300,1820
1,4,Subete no mono no owari wa sugu ni yattekuru.7 - Rory in early 20s,"fyp, labrantfamily, everleighrose",zcismywifey,339700,1549,22500,637
1,5,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,,keemokazi,672800,14500,62200,1007
1,6,original sound - Queen Beast,"@wingstop, foodie, mukbang, wingstop, wingstopmukbang, fyp, foryourpage, foryou, viral, eatingshow, foodtiktok",queenbeastofficial,2400000,27700,185100,27300
1,7,Lemme get that - Frizz🗽.,"fyp, foryoupage, trending, xyzbca, viral, blowthisup, fyp%E3%82%B7, nyc, relatable",rayneverlackinnnn,271400,9389,33500,3441
1,8,original sound - BUSTDOWN ZAY ON YOUTUBE,"vanity, grwm, makeup, vanitytour, money, broke, %F0%9F%98%AD, zyxcba, viraltiktok, fyp, fyp%E3%82%B7%E3%82%9Aviral",marcellaagaarcia_,1900000,8615,92300,5808
1,9,som original - Marcin chocolate,,gabrielcaique39,29700,2696,4370,3898
1,10,TO THE MOON - JNR CHOI & Sam Tompkins,"@yase_12, fashion, ootd",nnekamichel,73300,1355,1398,342
1,11,Edit Phonk (SPEED UP) - Bgnzinho,,alexfremdwelt,215300,3066,19000,19700
2,0,original sound - lilmark,,lilmark_m256,48200,290,6950,245
2,1,original sound - Ian Asher,,di1araa.s,351400,1874,29600,1685
2,2,original sound - Lorena Pages,"foryoupage%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F, fyp%E3%82%B7",that.fam0us.j0j0,55900,148,5919,79
