batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - YahneOfficialASMRBarbie,"facecard, asmrbarbie, asmr, asmrglue",yahneofficial,2700000,6196,137800,14500
1,1,original sound - Sara,"divorced, single, singlelife",sara.mi1ler,368800,109000,15900,14900
1,2,original sound - doyoucare😐,"salmajabarbique, fyp, foryoupageofficiall, fyp%E3%82%B7, foryourpage, crocs, converse, shoes, trend",salmajabarbique,1900000,15300,162400,16400
1,3,Yoan retro x lomiel - JUGUITO ✪,"@sisoy_chica06, paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii%F0%9F%A6%8B, teamsaoco%F0%9F%92%83%F0%9F%95%BA, paraatiiiiiiiiiiiiiiiiiiiiiiiiii, teamsaoco",chiquita_162,115700,242,5983,151
1,4,original sound - 𝙁𝙊𝙍𝙀𝙑𝙀𝙍 ✰,"sunday, fyp%E3%82%B7, viral",grw.forever___,3134,45,170,1
1,5,Sloppy Seconds (Ick Pt. 2) - Lay Bankz,,kennabeann14,354600,1086,54300,528
1,6,original sound - Ahoufe,"ahoufe_, trending, viral, trend, foryou, fyp",dada_ahoufe_,44400,1784,7315,2228
1,7,Big Ole Facts - Jose Guapo,,rkempiiree,102400,463,5922,204
1,8,оригинальный звук - ༺𝑮𝒖𝒛𝒂𝒍𝒊𝒏𝒂♡༻,"%F0%9F%98%85, %D1%80%D0%B5%D0%BA%D0%BE%D0%BC%D0%B5%D0%BD%D0%B4%D0%B0%D1%86%D0%B8%D0%B8%E2%9D%A4%EF%B8%8F, 4girlsteam, @itsmeaiana_, @baktybekovame, @elkatin, @lolopepe_2",molodaya_010,301800,767,21000,664
1,9,escapism sped up by raye - ⭐️sped up audios⭐️,"@brunettesandbracelets, fyp, viral, tiktok, xybca",random_4025,9688,2127,2064,98
1,10,som original - intentionz,"fyp, inverted",.eslis,132400,518,10100,304
2,0,snooze - sped up audios 🎧,,layloolaaaaaa,3650,236,735,136
2,1,"Creepy piano, ghost story horror ambient：L(1025873) - cowaii - Fear music encyclopedia","greenscreenvideo, 2024, blizzard, chicagoblizzard, fyp, chicagoweather, chicago, freezing",metacowboy,157500,4618,14600,12700
2,2,original sound - Kadisha🕷️,"fyp, kattwilliams, christucker, jeffreyepstein",kadishalynnnn,200900,2451,20400,8243
2,3,Oh No No No Laugh - Sound Effect,"elleking, grandoleopry, nashville, countrymusic, dollyparton, tributeshow, countrymusictiktoks, cancelled, dollyfam, dolly, drunk",jamiek721,88800,5047,5923,8914
2,4,"Painful, crying piano music with ambient sounds(1292263) - syummacha","truecrime, gypsyrose, gypsyroseblanchard, truecrimecommunity, truecrimeallthetime, crimetok, foryou",crimetimeteatimewithbree,124800,905,6048,871
2,5,original sound - Stephanie 💙,"contentcreator, monetizetiktok, millenialmom, creativityprogrambeta, tiktokearnings, nogatekeeping, salarytransparency, tiktokshopaffiliate",steph_murphy,65000,1373,13300,2172
2,6,original sound - Posterised,"jayz, rap, hiphop, raptok, rapper, @lolnetwork",boardroom,471900,2088,19900,3420
2,7,original sound - nurse.johnn,"nursejohnn, nurselife, nursesoftiktok, nursehumor, nursetok, nurseproblems, nursing, nursingstudent, nursingschool, healthcareworker, healthcarehumor, hospitallife, hospitaltiktoks, medicalhumor, medicaltiktok, fyp, foryou",nurse.johnn,656600,2478,27800,14700
2,8,original sound - hismile,"upgraded, whiteningtransformation, freebie, ad",hismile,2402,335,139,29
2,9,Hurts Me (Alone At Prom) - Tory Lanez,", ghd, stylingtips, straightenercurls, flatironcurls, howtocurlhair, haircurltutorial, hairtok, curlingwithastraightener",ghdofficial,387600,815,130900,15000
2,10,original sound - David Pakman,davidpakman,davidpakmanshow,24900,1586,808,287
2,11,original sound - haley <3,"bills, buffalobills, joshallen, stefondiggs, fyp, nfl, foru",haleyy.vfx,104500,1371,8260,210
2,12,original sound - بلال الحداد-Bilal Haddad,"%D8%AA%D8%B1%D9%83%D9%8A_%D8%A7%D9%84_%D8%A7%D9%84%D8%B4%D9%8A%D8%AE, %D9%85%D9%8A%D8%B3%D9%8A, %D8%A8%D9%84%D8%A7%D9%84_%D8%A7%D9%84%D8%AD%D8%AF%D8%A7%D8%AF",abo_lbil,708400,19000,57100,19200
2,13,From The Start Laufey - chris(ur fav Lauver),"@msmerli, foodporn, food, foodlovers, foodlover, foodieph, foodie, delicious, fyp, tiktokfood, foodtok, recipe, cooking, foodlover, delicious, yummy, abimarquez, desser, tanghulu, fruit, snack",abigailfmarquez,1700000,10600,373400,66700
2,14,sonido original - Chava Pichardo,"toyotahilux, toyota22r, offroad, 4x4, todoterreno, viral",chavapichardoof,48300,512,3093,1257
2,15,"Suspense, quiet urgency, suspicion, investigation：L(1029430) - cowaii - Fear music encyclopedia","superbowl, 49ers, baltimoreravens, conspiracytiktok, leaks",grace.mitscherlich,68500,1878,6248,3990
2,16,original sound - Miss Ghana,"taylorswifttraviskelce, taylorswift, traviskelce, taylorswiftandtraviskelceaftersuperbowl, superbowlafterparty, superbowl2024, superbowllviii, swifttok, swiftie, swifties, taylornation, foryou, fyp, viral, taylorswiftandtraviskelcesuperbowlafterparty",missghana,20700,173,1002,228
2,17,original sound - Carlos_Eduardo_Espina,,carlos_eduardo_espina,110800,4218,7368,8879
2,18,original sound - The Hyperlink,"freemasonry, secretsociety, freemasonryissatanism, hiddencamera, christiantiktok, catholictiktok, gnosticism, secretsociety, illuminati",captwilliammorgan,1104,48,350,130
2,19,som original - Royal News Channel,,royalnewschannel,68400,2109,5497,1417
2,20,sonido original - Carlos Diaz.,"vicentefernandez, unaztecaenelazteca",carlos.dyaz,109800,647,7646,17700
2,21,MGK freestyle whos in my top ten machine gun kelly - mgkmagic,"machinegunkelly, mgk, colsonbaker",mgkmagic,31000,407,3364,1235
2,22,original sound - benardtk,"tiktok, fyp, fyp%E3%82%B7, viral, trending, love, motivation, relationship, @jayshetty, @ivannicholomeneses, @prophetpassion, @prophetlovyleliass, @iyranahmed, @theejohnnychang",benardtk,2252,68,155,348
2,23,original sound - Aliaz,"fyp, parati, guitar, electricguitar, guitarraelectrica, nationalanthem, viral, fyp%E3%82%B7",aliaz_z,2500000,6501,250000,8210
2,24,original sound - Football Clips 🔥,"patrickmahomes, chiefs, superbowl",atfootballclips,454900,1778,22200,3208
2,25,original sound - Attorney Pish,"lawyer, law, facts, tips, learn",attorneypish,235500,14800,9945,3853
2,26,original sound - Nayib Bukele,,nayibbukele,156400,4321,8619,5487
2,27,Hard News - DM Production,"patrickmahomes, chiefs, taylorswift, swifties, riristea, rivetsoro",riristea,218100,307,5171,263
