batch,index,music,hashtag,author,likes,comments,shares,saves
1,7,original sound - Isaac & Andrea,"fyp, foryou, game, funny, couple",isaac.and.andrea,40600,48,2052,43
1,9,I Wouldnt Mind - ♱,"meme, memecut, capcut, trending, x, fyp, lovers, punk, alternative, alter, filter, alternative, lover, siblingsbelike, sisters, emo",levilothian68,1800000,18600,109600,117400
2,14,original sound - screaming girl,"roblox, mm2, mm2roblox, fyp, xyzbca, fyp%E3%82%B7, foryoupage",.zovaxr,209200,4567,34200,1250
2,17,original sound - Blondemilkman,"viral, fyp, christmas, northwest, foryou, roblox, trending, foryoupage, relateble, errandsvideomaking, thatsactuallyriri",thatsactuallyriri,33900,24600,7476,243
3,0,original sound - reg,"roblox, fyp, foryou, mm2roblox, funny, mm2, murdermystery2",regthecreator,32500,359,5257,57
3,1,original sound - screaming girl,"roblox, mm2, mm2roblox, fyp, xyzbca, fyp%E3%82%B7, foryoupage",.zovaxr,16800,491,2015,72
3,13,original sound - screaming girl,"roblox, mm2, mm2roblox, fyp, xyzbca, fyp%E3%82%B7, foryoupage",.zovaxr,79000,2495,11600,348
3,27,original sound - focusrbx,"roblox, fyp, trending, foryou, murdermystery2, mm2",focuswrldd,14900,251,2278,53
5,11,original sound - Antonio Grand,"relatable, onlineclass, quarantine, school, university, asian, meme, fornite, amongus",cheesycarl,755400,3624,56700,5628
5,22,original sound - khoumaisss,"foryoupage, foryou, fyp, viralvideo, viraltiktok, vibe, meme, baby",khoummais,81400,1024,11100,1146
5,23,original sound - SHADOWKING,"funny, meme, dharmann, shmiy",yaztds,393400,6853,75100,28600
