batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,som original - WE ARE 00h.03m 🇨🇭,,dobretwins,420600,4127,39200,1985
1,1,original sound - active <3,fyp%E3%82%B7,tina_042,406100,4651,23200,1084
1,2,I Wouldnt Mind - ♱,"christiantiktok, christianhumor, christianjokes, christiancomedy, christian, christianitytiktok, godisgood, jesussaves, jesusislord",dangmattsmith,164200,2908,21200,692
1,3,suara asli - bomba,,carlaavalverde_,693400,1561,67700,5776
1,4,original sound - user83233150521,,iluv0w3en,737200,1841,68200,5426
1,5,sonido original - rolitas_letra,,val_arse8,692400,2134,71800,3814
1,6,original sound - We_Tha_Future5,"blackmom, fyp, viral, content, relateable",we_tha_future5,107000,402,12100,1894
1,7,use this audio if you love kang haerin - babyechae 🐈‍⬛,"fyp%E3%82%B7%E3%82%9Aviral, foryou, christiantiktok, goviral, jesussaves",ltsea,602300,124700,70700,17200
1,8,original sound - Anna McNulty,,annamcnulty,115900,173,6149,77
1,9,yeastie girlz x tv girl - gia,"grande_blx110, duckblx, ginnyandgeorgia, netflix, ginny",gblx110,105200,1075,7186,994
1,10,My Love Gets So Lonely - iComplexity,"fyp, foryou, foryoupage, cookingwithemony",emonykeelen,40200,188,2817,44
1,11,オリジナル楽曲 - しゅん（おおしま兄妹）,,cegielski_twins,410100,2785,37000,4184
2,0,original sound - Modern Nanay™,"connhcruz, eatsltd, asmr, myfoodie, organizedhome",connhcruz,4200000,33100,273900,42400
2,1,original sound - Nara Smith,"thanksgiving, holidaytiktok, roastchicken, easyrecipe, homecooking, dessert, fypage, coupletok",naraazizasmith,1300000,2895,57700,2195
2,2,original sound - JANNET,,jannet.camacho,1400000,3125,74400,2201
2,3,nhạc nền - Bakery’s,"cake, mukbang, bakery",bakery0280,906200,16900,61500,36100
2,4,original sound - melekbd,"itsmelekbd, iran, persian, dubaimall, iranmall, food",itsmelekbd,319600,8079,31300,6865
2,5,original sound - 🇮🇶,"iraqiathatlovesdolma, dolma, arab, bebsi, middleeastern, %D8%B9%D8%B1%D8%A8_%D8%AA%D9%8A%D9%83_%D8%AA%D9%88%D9%83, iraqitiktok, iraqia, iraqi, arabtiktok, basra, %D8%B9%D8%B1%D8%A7%D9%82%D9%8A, %D8%B9%D8%B1%D8%A8%D9%8A, %D8%B9%D8%B1%D8%A7%D9%82, fyp",iraqiathatlovesdolma,40100,827,3194,733
2,6,original sound - لارا,,luluu.dxb,246000,1822,21000,1750
2,7,nhạc nền - Bushcraft Skills,"skills, brushcraft, camping, outdoors, survival, lifehacks",bushcraftsskills,820400,1784,73700,2965
2,8,original sound - <3,"naileadevora, naileadevoraedits, foryou, foryoupage, xybca, fyppppppppppppppppppppppp, omgpage, edit",planetdevoraa,20200,373,1970,87
3,0,sonido original - Gael Miranda,,xiiou03,248000,958,27600,1929
3,1,Si no Estás - iñigo quintero,"tiktok, viral, tiktoviral, kimbymicasita%F0%9F%8F%A1%F0%9F%92%95, vyzabca, paratiii, ponmeenparatiktok, tiktokponmeenparati, lentejas, @tiktok",fankimberly114,68400,0,5893,948
3,2,Coup du marteau - Tam Sir,,fleurdesavane,243400,1602,25000,1263
3,3,original sound - Tyrell 💕,,thatcurlycanadian,242100,1911,19400,511
3,4,original sound - safa,"fyp, foryou",pania.lateal,992300,3355,52300,5672
3,5,Her Way (Sped Up) - PARTYNEXTDOOR,"fyp, heart, ontopmelo, fyp%E3%82%B7, bts, romantolit",ontopmelo__,57000,656,5646,251
3,6,original sound - Queen_already1,"queen_already1, mumof3%F0%9F%91%8C, proudmama%F0%9F%91%8C%F0%9F%91%8C%E2%9D%A4%EF%B8%8F, fyp%F0%9F%98%9C%F0%9F%98%9C%F0%9F%98%9C%F0%9F%91%8C%F0%9F%91%8C",queen_already1,17100,156,421,86
3,7,Fight - BeatBrothers,,wnmmovie,121400,145,14000,137
