batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,,imanthonyvargas,739200,5977,37000,1145
1,1,,"bsf, blowthisup, fyp, @_r.egina",117._0,147200,2555,17600,1974
1,2,,"anxious, anxiety, gad, healthanxiety",,2600000,32100,278500,86300
1,3,,"@laineywilson, singingbarber",,4099999,94700,282200,115000
1,4,,,brookemonk_,984400,2310,51000,1295
1,5,,,,302000,1061,13400,1418
1,6,,"dogsoftiktok, fyp",,7900000,17800,343600,75700
1,7,,"soreloser, fyp, funny, game, foryou, trending, trendy",,4200000,24300,211700,214400
2,0,,"@iloverussellwilson, @888tweak, football, nba, kobe, soccer, neymar, fyp, foryou",,815000,2605,81000,1268
2,1,,"fortnite, fyp, fortnitepro, fortniteclips, viral, x2twins, x2twinsclips, bestfortniteclips",,103000,123,8392,130
2,2,,"fyp, nfl",,2200000,6094,225000,14800
2,3,,"@sadieclarkkk, wonka, timothee, timotheechalamet, willywonka",,379400,4349,37200,2789
2,4,,"fortnite, fortnitememes, fortniteclips, fyp, fyp%E3%82%B7, funny, fortnitechapter5, fortniteunderground",,2400000,33600,240900,82300
2,5,,,,413500,5089,56000,4995
