batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - spready0urwings,"fyp%E3%82%B7, viral",rulaempire,5400000,25100,485600,57100
1,1,original sound - KEEMOKAZI,onthisday,keemokazi,300800,1716,31700,1018
1,2,original sound - Zander Silva,"capcut, fyp, fyppppppppppppppppppppppp, fyppp, fyp%E3%82%B7, fypage, fyp%E3%82%B7%E3%82%9Aviral, fypage, fyp%E3%82%B7%E3%82%9Aviral, foryoupage, funnyvideos%F0%9F%98%82%F0%9F%98%82%F0%9F%98%82, funnyvideos%F0%9F%98%82%F0%9F%98%82%F0%9F%98%82, funnytiktok",funnny_for_you,1100000,12400,188400,80000
1,3,original sound - Marrkadams,comedy,marrkadams,103400,867,12100,803
1,4,original sound - Topher,"biblequiz, topher, walmart, stayinthatword",tophertownmusic,135800,3031,7307,1457
1,5,original sound - Jona,"@moe_g22, arab, arabtiktok, arabchristian, muslim",itsjoners,99500,1963,10200,1036
1,6,original sound - Nora Fatehi,dancewithnora,itsnoriana,977400,4193,55400,7285
2,0,original sound - alexisandasher,"daycare, viral, toddlersoftiktok, toddlerlife, blowthisup, toddlermom, explore, explorepage, loved",alexisandasher,1400000,4760,72600,12700
2,1,original sound - niah <3,,samiisantanaa,10500,90,979,36
2,2,original sound - Tyrell 💕,,thatcurlycanadian,242100,1910,19400,511
2,3,PLASTIC - Unghetto,"@cassie.liza, partnerchallenge, partnerstunt, liftchallenge, squat, deadlift, curl, hipthrust",2hot4u__,677200,2721,103000,33400
2,4,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"@fav0rsf0rus, cornwithslime, fyp, trending, tiktok, viral, new, greenslime, cool, explore, new, stem, slimeshop, foryou, funny, response, trend, satisfying",cornwithslime.fun,12900,1716,1856,77
2,5,original sound - Kriss&Esme,"meangirls, meangirlsmovie, meangirlsmusical, grwmmakeup, grwmroutine, meangirlsmovie",krissleos,106800,670,11500,159
2,6,som original - Felipe Paiva,,felipenpv,538900,13100,42500,11100
2,7,sonido original - locura chels,"viral, tiktok, parati, disimular, aaron",wuichao,3800000,17000,379900,127400
2,8,nhạc nền - Hannah and Regal,"material, reaction, regalnoise, dadjokes, fyp, trending, reactions",hannaahandregal,330100,2018,31200,6912
2,9,original sound - spo6kzie,"trend, @sari_sadi",lala_sadii,237700,2459,22300,875
2,10,original sound - Lazy Pot Noodle🍜,"lazypotnoodle, foodie, foodies, foodtiktok, foodtok, easyrecipes, food, funrecipes, recipesoftiktok, dinonuggies",lazypotnoodle,2900000,14100,252400,40600
2,11,son original - carinemokonzi.lachine,,carinemokonzi.lachine,9376,345,709,146
