batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,A Ram Sam Sam - CanzoniPerBimbi,"fyp, fypage, foryoupage, relatable, trentonfs, intrentonfswetrust",backwoodsockyy,45900,9498,3406,21100
1,1,son original - 💐𝐵🪐,,brookemonk_,3500000,6249,163400,8348
1,2,I Wouldnt Mind - ♱,"christiantiktok, christianhumor, christianjokes, christiancomedy, christian, christianitytiktok, godisgood, jesussaves, jesusislord",dangmattsmith,163700,2906,21200,687
1,3,original sound - 💎LadyKay💎,ladykaylive,lady.kay_,128400,47300,17300,41100
1,4,оригинальный звук - спотифай музыка 🎵,"@shein_official, sheinforall, loveshein, sheinpartner, shein, mcdonaldsgirlies, mcdonalds",mcdonaldsgirlys,256899,1690,21800,1865
1,5,orijinal ses - caner,@meow82194,marlon.noah,728900,2592,143100,5642
1,6,original sound - Little Poppy,"fyp, skit",little.princess.poppy,19200,66,2991,163
1,7,Bad Feeling (Oompa Loompa) - Jagwar Twin,"viral, love, foryoupage, fyp%E3%82%B7, tiktoker, acting, music, song, foryou, movie, film, actors, actress, director, fyp, director, hollywood, bollywood, art, artist, downsyndrome",brookesaviss,423500,4998,21300,4408
1,8,original sound - xylo,"foryoupage, viralvideo, viraltiktok, parfumes, fyp%E3%82%B7, foryou, pourtoi, fyp, kosovo, ferizaj05, switzerland, trend",deenaveseli,245200,586,21600,429
1,9,Rave no Escurinho Bota a Mão na Parede - Davizin & MC TOPRE,,di1araa.s,271300,699,20800,1048
1,10,original sound - JustinFlom,,justinflom,45000,1042,2831,668
1,11,som original - Pr1nces4👑,,pr1nces4.ff,159000,1640,13900,605
3,0,original sound - Jillian !,"fyp, sick, cold, cough",harperzilmer4,533700,5348,41500,4014
3,1,happy birthday,purplespeedy,purplespeedy,2300000,23200,95200,11200
3,2,original sound - Brent Rivera,,brentrivera,1500000,3192,86800,24700
3,3,sonido original - Cam,,gemelasabello2,135500,417,5615,881
3,4,original sound - Doja Cat,,dojacat,2000000,26900,96900,22800
3,5,original sound - BhutBaQa,"itmightbekokii, fyp, fyp%E3%82%B7%E3%82%9Aviral, sama28, relateable, viralvideo, mzansicomedy",yourneighborhoodstar,74100,338,4096,690
