batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,I Wouldnt Mind - ♱,"christiantiktok, christianhumor, christianjokes, christiancomedy, christian, christianitytiktok, godisgood, jesussaves, jesusislord",dangmattsmith,163800,2907,21200,688
1,1,You Can't Beat Me Challenge Jersey Club (Suunnnlight Vocals) - YKaY,fyp%E3%82%B7,chasityromann,346100,1058,51800,2115
1,2,Originalton - marinas.poison,"fyp, foryou",imthe_annag,175400,850,13700,101
1,3,Murder On The Dancefloor - Sophie Ellis-Bextor,,ijustreallylikecatshuh,514100,1107,19700,510
1,4,Gata Only - FloyyMenor & Cris MJ,"alondrissaclipstwitch, foryou, twitch, rainelissss, alondrissa, alexomarr",raialondrisalex,5467,49,1283,83
1,5,original sound - Lovelymimi,"@lovelyjuice23, mom, daughter, friend",lovelymimi865,37000,115,1142,58
1,6,Just for Me - PinkPantheress,"cuteguy, cute, divorceddad, over40, separatedbuthappy, youthful, confidentlycute, datingover40",divorceddad83,824500,64500,85400,71200
1,7,My Love Mine All Mine - Mitski,"movienightwithtoddler, cozyathome, stayathomemom, pjnight, chillvibes, toddlermom, firttimeparents, barbiemovie, sahmomlife, momlife, movienightwithkids, girlmom, sahmlifetok, comfybed, barbie, cozybedroomvibes, baby, babyfever, babiesoftiktok, toddlerlife, babies, toddler, momtok, trend, momsoftiktok, parents, parenting, girlmom, mommysgirl, family, familytok, movienight, movienightideas",miranda.et.iri,785000,2137,74800,5011
1,8,original sound - bouijeebraids_,"fyp, fyp%E3%82%B7",brianna_faison,19300,124,2028,72
1,9,sonido original - ♕𝓒𝓸𝓻𝓪𝓵,,gumoisess,27700,862,6234,5153
1,10,original sound - Zoe Reborn,"escaperoom, fullerton, horrorescaperoom, scary, fyp, foryou, downtownfullerton, thingstodo, viral",zoeandunclerobert,895300,8034,59800,19300
1,11,son original - Wissers.MM2,"pourtoi, foryou, foryoupage, fyp%E3%82%B7, viral, fyp, murdermystery2, roblox, mm2",wissers.mm2,22300,324,2722,125
2,0,original sound - Rach,,dracomilfoy,2100000,4219,131500,7808
2,1,original sound - jamie,"funny, memes, fyp, viral, memetiktok, skit, meme, asian, ayo",jamiemakescontent,654500,6227,73400,8298
2,2,TREND MARKS E LUANZIN - Alysson Marks,"tutorial, dancetutorial",gus_bonfim,159200,508,27100,600
2,3,sonido original - 👺🎭🥷🏻,"bandogirls%F0%9F%A5%B7%F0%9F%91%BA, viral, apoyo%3F, bando%F0%9F%91%BA, bandogirls%F0%9F%91%B9",_bando_girl..0,241800,0,35700,1709
2,4,som original - Manos de SP,@diiazoficial,_ravena_g15,286800,1529,18700,773
2,5,original sound - Coast Canyons Pack,"fyp, fy, fyp%E3%82%B7, foryou, foryoupage, furry, furryfandom, furrytiktok, raptormaskfurry, furrytiktoker, fursuiter, fursuiting, furrypride, furryfandom, justiceforbannedfurries, stopfurryhate, probablyluna",luna_.floofs,69,82,6,0
2,6,Escapism. - RAYE & 070 Shake,,yass_ootd,315400,895,18900,490
2,7,original sound - Sterling and Colin,"hair, year",e.zabenska,204800,239,16700,521
2,8,"Automotivo XM, Taka Taka Taka Tá - Dj Brunin XM & Mc Lullu & Mc Erikah & Kinechan",,monipula,7092,53,709,25
2,9,orijinal ses - caner,"foryou, takealookofmygirlfriend, foryoupage, parati",machiavelliicaa,199200,954,13500,1513
2,10,original sound - screaming girl,"roblox, mm2, mm2roblox, fyp, xyzbca, fyp%E3%82%B7, foryoupage",.zovaxr,50500,1303,8768,214
2,11,original sound - Jalessa🤍,"xybca, foryou",theofficial.jale,262100,1112,24500,305
2,12,PSY Gentleman - 𝖍𝖆𝖈𝖎𝖒𝖆𝖓𝖙𝖛𝖛,"voleylovers, fyp%E3%82%B7%E3%82%9A, volleyball, voley, voleyballworld, volleyballgame",voleyforever,1500000,19100,204200,45200
2,13,dc fefezete - Maria Fefe,,emillyvickof,255700,5067,17400,1979
2,14,Agora é Tudo Meu - DENNIS & MC KEVINHO,"pesta%C3%B1as, fyp, foryou, parati, contenido, fyp%E3%82%B7, abcxyz",mary_rios50,15700,145,641,50
2,15,som original - Pastora e Família,,pastoraefamilia,184400,23200,19900,3061
2,16,original sound - 𝕭𝖚𝖋𝖋𝖔𝖔𝖓,"fyp, s, love, keybaord, keyboardkeys",markzhood,4449,732,1121,494
2,17,som original - Dani Lima,"fy, foryourpage, fyp, viral, humor",dani_lima1,669200,3679,31400,1245
2,18,original sound - Artsa,"fyp, foryoupage, fortnite, relatable, fyp%E3%82%B7",artsa2.0,243400,1831,29600,14400
2,19,original sound - Hahafunny123,"meme, funny, viral, fyp, xuhuong",haha567usa6,1200000,3562,116100,6387
2,20,original sound - Arson lover ᖭི༏ᖫྀ,,notelongatedmusk,110200,367,8610,102
2,21,Left - Summer Version - iamB4,,jadelidamelio,139900,592,12300,325
2,22,good for me - kyszenn,@meeynara,di1araa.s,76700,431,7349,343
2,23,original sound - Lilyy,,badbishlily,172800,2727,21100,328
2,24,som original - ☠️,"beijo, escolapublica, cirilaemariojoaquino, cirila, mariojoaquino, elerrander, casal",dud4zz67,1500000,15200,135100,11900
2,25,original sound - Cheska Limson on Youtube,"magsinotwins, magsinosibs, fyp, siblings, zxycba",athenadsuperior,427500,3,27800,47400
2,26,som original - Joaotanusz,"foryou, meninas, menina",joaotanusz,91400,29200,8797,16600
3,0,three BOCOLATE BIP BOOKIES - TOGUSA,,not.trinityy_,313300,2403,28200,4443
3,1,original sound - Stormz,"pov, fyp",daniela_estefaniaa,8152,101,1029,6
3,2,gimme more slayyyter remix - DJ,,hicoley,25300,132,758,78
3,3,original sound - Mariah and Bill,,mariahandbill,1500000,930,40300,1969
