batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ★ seplix,,brookemonk_,984300,2310,51000,1295
1,1,original sound - Sweetpea 😍 Her,,glxxmike,3300000,19700,266400,90000
1,2,Mama Cry - YNW Melly,"fyp, carringtonhenry, trending, goviral, motivation, motivacional, storytime, shot, bitrthday",carringtonhenry,835500,11100,39500,2620
2,0,original sound - Curtis Charles,,nicollefigueroaa,1900000,1418,46000,1596
2,1,original sound - 🎧,,skyyjade,23700,1726,2476,139
2,2,original sound - Cassie,hasselbackpotatoes,cassyeungmoney,3300000,8225,1200000,128300
2,3,Let Me Down Slowly - 腾金涛,,xunitaloli,2519,124,498,45
2,4,Coochie Scout - YN Jay,,kinzi3boo,83000,116,9273,140
2,5,Gucci Flip Flops - user73494582901,,secretst0n3r,1300000,7441,88400,5096
2,6,original sound - jàññàñy❤🌈 - ஜனனி❤️✨,capcut,mr.wade30,7138,122,685,13
2,7,original sound - Tay,"fyp, foryoupage, armystrong, talltok, fyp%E3%82%B7, xybca, viral, army",jfoggisback,2800000,43000,143200,35100
2,8,nhạc nền - Funny_Love,"wholesome, life, viral",funny_love_video,2400000,4284,187100,8335
3,0,original sound - Principessa24,"49rs, superbowlliv, superbowl2024, bucketlist, superbowl, streaker, chiefs, ninersnation, chiefskingdom",riatr2016,1736,58,146,1200
3,1,original sound - kyle.h,,khh_86,1405,60,130,1225
3,2,original sound - ClipsAndytvids,"superbowl, vitaly, streak, fyp, football",clipsandytvids,831,15,35,126
3,3,original sound - ESPN,"pov, taylorswift, paulrudd, superbowl, chiefs",espn,234800,2105,7359,1275
3,4,original sound - Jasmene Bowdry,"superbowl, halftimeshow, celebstyle, greenscreen, styletok",jasmenebowdry,62400,7584,2767,14600
3,5,original sound - Nite Mrkt 🐍,"superbowl, nickelodeon, spongebob, memes, comedy, doodlebob, fyp, funny, nfl",nite.mrkt,84700,673,5120,3845
3,6,original sound - Tayvis World,"taylorswift, swifttok, taylorsversion, taylornation, swiftie, swifties, traviskelce, chiefs, taylorswifttraviskelce, traviskelcetaylorswift, tstheerastourfilm, erastourtaylorswift, erastour, jasonkelce, kyliekelce, newheightspodcast, newheight, tayvis, tayvisnation, swelce, kansascitychiefs, superbowl2024, superbowl, mvp",tayvisnationn,35500,254,1798,272
3,7,original sound - MuchMusic,"applemusichalftime, sblviii, , ",much,158700,1142,10600,1631
3,8,original sound - Playmaker Brand,,playmaker,4292,133,301,736
3,9,original sound - NFL,"taylorswift, nfl, superbowl",nfl,1100000,9974,39600,45400
3,10,original sound - Yahoo Sports,"@wynnlasvegas, jasonkelce, traviskelce, taylorswift, traviskelceandtaylorswift, superbowl, superbowlchamps",yahoosports,552100,2703,28700,38200
