batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - REEKON Tools,,reekontools,643400,3888,105600,77700
1,1,all the time - 🌟,fyp,ericaaajeannn,106000,1089,6325,131
1,2,original sound - active <3,fyp%E3%82%B7,tina_042,367100,4232,20400,984
1,3,20 min - ✿,"trend, friend, fyp%E3%82%B7",_flexinalan_,48000,151,3690,207
1,4,bent instrumental - ⚜️,"aesdr, relatable, viral, fyp, rizz",yourkute,64599,143,7769,165
1,5,Márcio Beat Water remix - Márcio Beats,"leejung, taeyong",tik_tyong,2300000,9805,140000,9423
1,6,FREAK - Dababy,,myanicoletiktoks,56900,378,4998,52
1,7,original sound - ☆,"onthisday, fyp, momsoftiktok, december, toddlermom",lizethramirez_,983800,2207,109700,8796
1,8,original sound - thefittestwizard,"agroboy, dancinha, nachuva, foryou, trending",diego_e_rodrigo,4700000,62500,285600,97600
1,9,original sound - Alexis,"fyp, foryou, foryoupage, viral, alexisdacreator, xyzbca",alexisdacreator,225300,2582,34200,2447
1,10,Your number - 𝐋’🎧✰,"mrpreestige, drip, canada%F0%9F%87%A8%F0%9F%87%A6, ghana%F0%9F%87%AC%F0%9F%87%AD, france%F0%9F%87%AB%F0%9F%87%B7, gabon%F0%9F%87%AC%F0%9F%87%A6, europeandrip, africandrip, americandrip, frenchdrip, ghanadrip",mr_preestige,73900,1424,3554,394
1,11,original sound - ari ☆ .,"ddot, urfavddot, sugarhillddot, e4n, forever17, e4dotty, nottiosama, ddosama, actives, blowup, fyp, everythingfornotti, forever14",urfavddot,50200,330,10100,303
2,0,som original - Keira,,keirariff,2300000,17200,154800,27100
2,1,original sound - S K Y,"peace, love, happiness, ghana, africa",mireclary,23400,140,745,41
2,2,Umbrella - 魅音老普,,.roshaun,82400,434,2795,780
2,3,original sound - daynaa bro,"viral, foryou, zoespencer, fyp%E3%82%B7%E3%82%9Aviral, trending, nyc, fyp, youtuber, fyp%E3%82%B7, dance, foryoupage",zoespencer___,389200,524,34200,722
2,4,sonido original - Maruan,"themaruan, drip, outfit",themaruan,26700,285,2129,331
2,5,Tipo Hollywood Fp e camponês - Filipe Rodrigues,,www.luluca,405400,11600,28400,4108
2,6,original sound - 🅿️läyBôî Ńatē,"amp, greenscreen, fyp, viral, kaicenat, kaicenatfunnymoments",playboinate_,485600,7612,36100,6416
2,7,HOCKEY MASK - The Weight Of Silence & J-Figure,"predator, ballisticdummy, creative, kaupo, kauposhop, kaupoplankenhorn, smoothon, smoothonproducts, alienmold, aliengoboom, monstertargets, fyp, xenomorph, sfx, avp, fy, foryoupage, foryou, fypage, trending, gamer, trend, viralvideo, predator, artistatiktok, smoothon, tiktokhorror, mrxeno, horrorart, scifi, moldmaker, predatormovie, halloweenart, aliens, artist, smoothon, art, skull, aliens, viral, trend, alienvspredator, viralmusic, musicviral, viraltiktok, viralvideo, bestviral, viralart, moldmaking, resinart, resin, aliens, alien, asmr, asmrvideo, asmrtiktok, asmrart, ballistictorso, ballisticpredator, alienhunter, arnoldschwarzenegger, predatormovie, ballistichead",mr.xenoo,110800,99,5672,141
2,8,som original - Dree Barber,,dreebarber,1400000,5503,63300,5066
