batch,index,music,hashtag,author,likes,comments,shares,saves
1,1,original sound - speed UP songs,"geekedup, dance, minnesota, fyp",emersonrock,172900,348,14400,267
1,3,оригинальный звук - ㅤㅤㅤㅤㅤㅤㅤ,"baloncesto, fyp, basketball, dance",rubenrg_4,324100,1166,18900,2686
3,15,or nah - leslie,"fyp, fyp%E3%82%B7, relatable, theweeknd, theweekndexp, theweekndxo, theweekndfan, chaseatlantic, chaseatlanticvibe, music, musictaste, band, abel",its.ryanttt,252800,1839,36700,2147
3,22,original sound - Kate & Loren,"dancer, fyp, viral, foryou, backflip",tamara_masarova,428900,1322,34400,2298
3,25,Fuck It Up! - Ocho Drippin,"trio, dance, nz",connorsettlesmith,97800,116,7197,227
4,4,original sound - Blondemilkman,"fyp, dance",abbysaltzmaniscute,14400,777,2739,103
4,10,original sound - Curtis Charles,"ring, seal, dance, learnontiktok, asmr, fyp",coffswildlifesanctuary,5500000,42500,472900,103700
4,12,BIRTHDAY DANCE - Josh Levi,"us, music, fyp, viral",skyyjade,16600,223,1668,152
5,20,original sound - Jan Marlo Basalan - JVN,"trio, dance, nz",connorsettlesmith,99400,214,6762,282
5,26,original sound - BashTheEntertainer,"suhuong, xuhuong, hottrend_1234, fyp, foryou, fyp%E3%82%B7, trending, dance",hiphop_cute,451,17,128,19
