batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - REEKON Tools,,reekontools,641500,3867,105300,77600
1,1,original sound - 𝙹 𝙾 𝚈 𝙲 𝙴 𝙻 𝙸𝙽 💋,"serverlife, serverproblems, servertiktok, servers",lujanojoyce,146400,0,22000,849
1,2,original sound - djflatlinelay,,djflatlinelay,3100000,21600,303700,123800
1,3,original sound - ❤️‍🩹,,taliahaam,935900,6220,64700,23400
1,4,original sound - Alem Shibiru✝️,"@selam_tap1, ethiopian_tik_tok, alem, live",alem.shibiru,20800,10900,49700,36000
1,5,original sound - Dayquan & Arianna,,dayandari,226600,1295,23900,1527
1,6,оригинальный звук - никто,,esterbron1,44300,377,146100,479
1,7,original sound - Dr Audio Plug,"fyp, viral, spoiledbrat, rage, fortnite, gtag, gorrilstag, gorillatag, oculusquest2, rage",witch.hat.vr_,20600,2888,3118,449
1,8,Funny - Gold-Tiger,"foryou, fyp",miusuu362,21600,123,2438,768
1,9,Gucci Flip Flops - user73494582901,,secretst0n3r,1300000,7441,88400,5096
1,10,How to Dress Like Lil Yachty - Jhalfaday,"lilyachty, howtodress, fashion, outfit, fyp%E3%82%B7, viral, trend",tori.dastarsylist,44800,145,5187,81
1,11,original sound - Slim 199x,"fyp%E3%82%B7, dance",thomasharris21,240000,7913,30300,27500
2,0,nhạc nền - ㅤㅤㅤㅤㅤㅤㅤㅤ,,zhuhhsh,1600000,14100,138700,68800
2,1,original sound - doyoucare😐,,rooobidoobi,2600000,22400,313100,11300
2,2,original sound - Mr. There it go,"snowboardinggirl, skiergirl, gondola",venessanutz,297800,986,59200,4124
2,3,original sound - Caleb Finn,,lelasohna,75000,271,14400,382
2,4,original sound - MOONTELLTHAT,,moontellthat,1600000,10200,113100,19400
2,5,original sound - Miss_Snowwolf_jku,,miss_snowwolf_jku,1000000,1919,36400,3522
2,6,Bongos (feat. Megan Thee Stallion) - Cardi B,"@sophieraiin, @summerxiriss",theaishahsofey,257800,1007,50100,1862
2,7,original sound - Cops Story,"cops, copsoftiktok, copsontiktok, copstiktok, foryou, fyp",cops.story2,801100,14700,71200,21500
2,8,original sound - CheezaAfrikanaDancekids,"fyp, fyp%E3%82%B7%E3%82%9Aviral, tengetenge, funny, viral, fyp%E3%82%B7%E3%82%9Alove, rango",cheezaafrikanadancekids,1800000,42500,159100,94900
2,9,original sound - 𝐊𝐬𝐚𝐢,"rorybrooks, kikidoyouloveme, kiki, lol, extreme, raining, rain",real.rory,182300,739,11400,811
2,10,original sound - Mr_ramos,,tonkpilsmaggot,42200,813,4090,868
2,11,Went Silly - King Von,"robloxhoodgame, robloxhoodrp, kingvon, oblock, cheating, ak",krazybando,12700,477,2694,268
2,12,original sound - Zars,"gymsongs, gym, gymtok, fitness, fitnessmotivation, fyp, bodybuilding, motivation",zarsyt,16300,25,726,60
2,13,original sound - mabu😇,"drake, lilmabu, rap, fyp%E3%82%B7",lilmabu,1100000,3424,58400,2104
2,14,original sound - Debbie Valdez,"fyp, fyp%E3%82%B7, couple, couplecomedy, couple, foryoupage, relationship, couplegoals, viral, couplelove, trending, xybca, funny, couplestiktok, relatable, foryou, boyfriend",debbiekval,2300000,4661,181800,17300
2,15,Moves like jagger - Full Audio’s 🕺💃,,alexmapeli,494800,4103,27300,1924
2,16,original sound - coopër,"fyp, fyp%E3%82%B7, trending, viral, batman",katoradora,658300,5422,69300,41900
2,17,original sound - 🕷,"fyp%E3%82%B7%E3%82%9Aviral, relatable, inhaler",solo.aasiaa,408500,2804,34300,1913
2,18,Body perfect - Ziah150,fyp%E3%82%B7,chasityromann,100000,364,10300,463
2,19,original sound - ISAIAH&TRACY,"foryou, couplesrelatable, fyp, couples, longtermrelationship, girlfriendthings, relatablecouples, relationshiphumor, datinglife",isaiah.tracy,8958,39,701,314
2,20,Pick up the phone - 𝕮𝖔𝖊𝖑𝖍𝖆✞,,ema_bb0,156200,1712,24200,1321
2,21,original sound - LB,"itsokaytolook, dangeroustostare, thatswhatsunglassesarefor, haha, jokes, comedyvideo, skirt, cutetop, shescute, smalltowngirl, fyp, v",thecooks93,52800,627,3315,736
2,22,original sound - FemaleRap,"fyp%E3%82%B7, viralvideo, blowthisup, zyxcba, makeuplook, sister, stunnagirl",user12k62,315100,4433,33500,2315
2,23,original sound - House of Highlights,"@akwilliams03, funny, slide, fun, slides",houseofhighlights,339100,3914,20400,17300
2,24,original sound - Luminance Medical,"fyp, foryou, foryoupage, fyp%E3%82%B7, viral, fypage, fyp%E3%82%B7%E3%82%9Aviral, popular, surprise, tiktokmademebuyit, xybca, lifehacks, redlight",luminancered,377800,7398,53600,4197
2,25,Yellow - S l o w e d • S o n g s,"fyp, dogsoftiktok, petsoftiktok, doggo, dogmom, gsd, pickup, hello, callingmyphone, iphone",jaymelko,2165,949,1070,76
3,0,original sound - TheThuanAndOnly,"kids, dadsoftiktok, comedy, funny, laugh, burn, parentsoftiktok, 90s, millennial, comedian, dadjokes, teenager, parents, humor, storytimevideos",its_.me._adam,352600,6760,12000,62800
3,1,Teenagers - My Chemical Romance,"lgbt, teenagers, wlw",thatsnotofani,548500,9737,21800,3592
3,2,take my breath away by berlin - -,"fyp, foryou, foryoupage",codypearsonofficial,9438,141,482,5070
3,3,original sound - Boss Whiskey Biz,"marriagehumor, marriedlife, blingbling, whiskeybiz",bosswhiskeybiz,76700,1773,2276,5909
3,4,original sound - The Holderness Fam,"genz, genztranslator",theholdernessfamily,229300,6501,27000,138600
3,5,الصوت الأصلي - Ꭶ,"ayhamnahleh, fyp%E3%82%B7",abunahlehhh,11000,89,987,65
3,6,Originalton - Beste_Doku_Szenen,fyp,missmercedesblanche,5983,105,201,35
3,7,original sound - WhiskeyB,"whiskeybiz, rzrlife, turborzr, liftedrzr, portals, muddybottomsatvpark, muddybottoms2023",whiskeybiz,98800,505,5306,10500
3,8,original sound - JeanicePerez,"momsofteens, parenting, momanddaughter, motherdaughter",jeaniceperez,20400,75,1215,78
3,9,original sound - Boss Whiskey Biz,"nikes, customnikes, diy, whiskeybiz",bosswhiskeybiz,90800,988,4056,1997
3,10,original sound - Lyala Jama,"sejeong, absentfather, savagecomeback",lyala.jama,449800,358,27700,1668
3,11,original sound - Nicole Story Dent,"momsoftiktok, relatable, accurate, millennial",nicolestorydent,44300,400,1474,9381
3,12,original sound - Taylor Swift,fyp,danimoreenoo,54400,360,3109,1793
3,13,original sound - Scott.taz.jones76,"parentsoftiktok, dadsoftiktok, momsoftiktok, dadcomedy, teenagers, foryou, fyp",dad_to_6_kids,3502,146,318,521
3,14,original sound - Todd Amundson,"fyp, tiktok, tiktokviral, foryoupage, fyp%E3%82%B7, teenagersbelike, teenagersscarethelivingheckoutofme, dadlife",toddamundson,150200,1396,12900,63400
