batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Gavin.kernstinee,igmirandahhmarie,mirandahshaul,211800,2095,12800,4399
1,1,original sound - Lustra Clear,"randomfacts, satisfyingvideos, viral, fyp",lustraclear,273600,53900,33500,163100
1,2,23 - senia,@monkeyfarts6969,victoriaa.cardenas,393000,996,39600,1094
1,3,original sound - ®️ Louieveegang💙,"@louieveemoonteenmoonfam, fyp",louieveedee,59000,0,4677,135
1,4,orijinal ses - caner,"fyp, trend, @by_celia",virmartinez01,1200000,2415,34700,5398
1,5,original sound - Ghanafuo 🇬🇭,,wizinany29,146300,711,11300,624
1,6,original sound - Marcelo Wang,"mandarin, chinese, marcelowang, slaybeatie, fentygloss, benefitcosmetics",marcelowang0527,2500000,13900,404100,75900
1,7,sonido original - _amix1632,"capcut, @ariancita._.oficial, @lamartinitasiemprehappy, @artamios",_amix1632,93100,1178,16200,755
1,8,som original - MoriMura🍕,,morimura,2100000,10400,152600,13100
1,9,original sound - grandma_droniak,,grandma_droniak,712400,6761,31100,5901
1,10,sonido original - 🐊🗽_keviincitoo_17🗽🐊,"borrador%E2%9C%A8, viral",rulitos543,67700,421,4247,227
1,11,Déjame saber - Dei🌙,,ruuuruuu09,272600,313,13500,852
2,0,Robot Challenge - KATJA,"ice, road, sunset, asthetic, pretty, beautiful, view, cold, canada, north, america, contortionist, flexible, flexibility, dance, preppy, aurora, stretching, yoga, contortion, gymnast, gymnastics",theemeraldgordonwulf,325300,5507,31800,18000
2,1,Creepy and simple horror background music(1070744) - howlingindicator,"creepy, horror, strange, disturbing, scary",haunthavenn,883,184,269,31
2,2,original sound - Dan !!,"fyp, foryou",imthe_annag,311800,717,30400,399
2,3,original sound - ®️ Louieveegang💙,onthisday,louieveedee,1171,25,114,4
2,4,Talkin' Bout (feat. Saweetie) - Loui,,mckenzibrooke,62500,226,4875,45
2,5,orijinal ses - caner,"mylover, sadstory",brookiwooki,2500000,7226,68500,4754
2,6,original sound - MillyBrownBob,"breakup, braces, pain, trending",autumnnmonique,190500,1005,12700,112
2,7,orijinal ses - caner,"fyp, trending, viral, couple, relatable",kokoandsymba,136800,336,9118,271
2,8,Love You So - The King Khan & BBQ Show,,rafaestanga01,16900,180,574,90
2,9,BASTA THUNDER KINEMEROT SIYA - jae's,"fyp, diet, gym, fitness, weightloss",pookieateacookie,29000,3109,3189,270
2,10,原聲 - ㄗ☁️¹³ - 姿☁️,"capcut, goviral, viral, xybca, foryoupage, fyp, fyp%E3%82%B7%E3%82%9Aviral, fyppppppppppppppppppppppp, foryou, 4u, real, xyzbca, fyp%E3%82%B7, fypage, 4upage%E3%82%B7",.k1ttyyqx,23800,618,3247,307
2,11,shake your phone - munhana🤭🤞🫶,"music, tiktok, trending, fyp, views, purple, viral, color",peachpeach20,5637,328,1042,209
2,12,AUTOMOTIVO EMPURRA - sma$her,"capcut, dance, meme, viral, brazilianphonk, brazilianfunk, foryou, fypage",phonkmusicxxl,303700,2935,38200,8415
2,13,original sound - mckinley richardson,,mckinleyrichardson,15000,76,1181,10
2,14,original sound - ㅤ,,itz.not.tuccy,35200,1,841,57
2,15,son original - RAPoXygène,,yafavtwinss3,26600,48,2613,71
2,16,som original - MoriMura🍕,,morimura,2200000,13300,177400,16600
2,17,everyone using this sound - Zup,"fyp, foryou, viral, marriedlife, marriagehumor",anxietycouple,500100,2777,53700,4120
2,18,Better Place (Family Harmony) - Justin Timberlake & Eric Andre & Daveed Diggs & Kid Cudi & Troye Sivan & Anna Kendrick & Camila Cabello,,ylleyaevans,6226,339,1051,18
2,19,The Mop - TisaKorean & Kblast & Huncho Da Rockstar,"fyp, fyp%E3%82%B7, sofiachicorelliserna",sofia.chicorelliserna,75200,860,9836,307
2,20,merrily we fall prodbyraesam - deluluestduo,,meeynara,115800,509,13000,693
2,21,original sound - serenehesri,,serene.hesri,160300,924,17600,547
2,22,original sound - Matthew and Ryan,"couplescomedy, matthewandryan, reaction, fiance",matthewandryanuk,16100,167,1301,20
2,23,Ick - Alt Ending - Lay Bankz,,sneha.v,102100,751,13300,106
2,24,dirty laundry - Slowed sounds🥰,,louieveedee,1528,91,116,4
2,25,bent instrumental - ⚜️,"aesdr, relatable, viral, fyp, rizz, babysitter",yourkute,77600,361,16200,451
2,26,J CHRIST - Lil Nas X,,lilnasx,120400,4394,4810,386
3,0,WHY IS MY SOUND POPULAR WHAT - 🫶🏻,"onthisday, fyp, gym, diet, japan",pookieateacookie,114900,9716,14600,1896
3,1,original sound - Jessica,"pov, povs, foryou, usa, diy, usa_tiktok, usa%F0%9F%87%BA%F0%9F%87%B8, fyp",jessicakeylee,8194,1933,2019,254
3,2,original sound - chan💝💐🪩🎀,,melissagisellexx,9,2,0,2
3,3,original sound - mikeymarrero,"fyp, foryou, couple, toxicrelationship",mikeymarrero,91000,331,6869,2293
