batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - speed UP songs,"geekedup, dance, minnesota, fyp",emersonrock,173700,349,14500,269
1,1,original sound - Oinomas86,"@2o9.juniorrr, @just_seann2, viral, fyp, princesos, junje",oinomas86,405100,724,26300,373
1,2,Candyman (Ultimix Mixshow) - Christina Aguilera,"fyp, nflfootball, chiefs",thosereallycoolbffs,4400000,43800,668600,121700
1,3,soak city (do it) - 310babii,@kate.nita.off,aymspam,1100000,1080,65200,4276
1,4,original sound - Curtis Charles,"@maya.knd, beyonce, beyoncechallenge, ringonit, dc, viraldance, dancevideo, tanzvideo, tanzen, fy, fyp",sophia.kumbartzky,94200,596,8220,859
1,5,original sound - niya,"@karene_sps, flyp%E3%82%B7, pourtoi, trend",nawel__djmb,237500,964,26200,960
1,6,original sound - your dad,,shafar_sjc,71800,443,8021,307
1,7,sonido original - Pitukey_wa🕺🎽,"dembow, prendio%F0%9F%94%A5, %F0%9F%87%A9%F0%9F%87%B4, fyp",neysha.martis,235200,732,21300,1894
1,8,"Mozart/Requiem ""Lacrimosa""(1394506) - Mint","chatgpt, aistory, chatgpt4, ai, angry, cup",toxicthoughtsai,11800,123,1712,124
1,9,original sound - laughFlix,"foryou, fyp, viral, movie, tv, film, xyzbca, game, storytime, dharmann",moviemirth,292100,2784,35500,810
1,10,original sound - cameramanneke,,themannekes,15500,79,1464,161
1,11,الصوت الأصلي - Abdulaziz,,justangela.._,77300,94,10300,1036
3,0,original sound - ⭒,"icespice, munchkins, icespicecult, spicecabinet, smoochspice, fyp",smoochspice,76400,191,6478,169
3,1,original sound - Slimmerjimmer,,rkempiiree,831200,2917,35400,4417
3,2,original sound - 𝐒𝐓𝐀𝐑𝐙𝐈𝐅𝐘𝐘 ⟢,"%E0%B8%AA%E0%B9%82%E0%B8%A5%E0%B8%A7%E0%B9%8C%E0%B8%AA%E0%B8%A1%E0%B8%B9%E0%B8%97, %E0%B8%AA%E0%B8%9B%E0%B8%B5%E0%B8%94%E0%B8%AA%E0%B9%82%E0%B8%A5%E0%B8%A7%E0%B9%8C",alieva.ai7,23100,0,1689,241
3,3,original sound - SoulReligion,,diamantblazi,27800,308,1479,117
3,4,original sound - jake and johnnies left toes 😎,"johnnieguilbert, edit, capcut, tiktok, fyp, like, emo, jakewebber, jakewebberandjohnnieguilbert, funny, food, clipped, @johnnieguilbertreal, @jakewebber9",jake.and.johnnies5,784300,9075,128000,7383
3,5,Originalton - Odin,"funny, meme, fyp, viral",nurodinistnichtfrei,384900,3247,41000,8706
3,6,오리지널 사운드 - NewJeans,"fyp, gym, diet, weightloss, fitness",pookieateacookie,37700,3363,4802,700
3,7,original sound - Robiiiworld,"@linabinaofficial, @50fitch",robiiiworld,130100,673,10300,387
3,8,original sound - ⭐️ 🌟,"meme, memecut, tomkaulitz, billkaulitz",taylor_kaulitz00,31800,394,6831,490
3,9,tokold on all plats - kold ⛥,"emoney, viral, fyp, fu, erich",frpaid,39900,765,2828,130
3,10,23 - senia,@monkeyfarts6969,victoriaa.cardenas,389100,980,39100,1086
3,11,Bad Feeling (Oompa Loompa) - Jagwar Twin,"catnoir, miraculouscatnoir, cringecatnoir, miraculous, miraculum, miraculumczarnykot, fyp, dc",envy98b,32000,1710,5820,3066
3,12,original sound - valuableruns,"foryou, viral, vi%C3%A4rb%C3%A4ttre%C3%A4ner",jamenntjenare,46900,283,5654,537
