batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - active <3,fyp%E3%82%B7,tina_042,405200,4637,23200,1075
1,1,original sound - theyeetbaby,"miraculousladybugtiktok, fyp, miraculousladybug, miraculous, ladybug, catnoir, lilarossi, baldibug, baldinoir, baldibugnoir, lilamiraculous, liela, lielarossi, lilarossimiraculous",lladynoir4life,132500,1075,12800,963
1,2,I Wouldnt Mind - ♱,"christiantiktok, christianhumor, christianjokes, christiancomedy, christian, christianitytiktok, godisgood, jesussaves, jesusislord",dangmattsmith,164200,2908,21200,692
1,3,original sound - 🎧,,skyyjade,25500,1807,2858,146
1,4,original sound - 🔵 Gumball’s Thoughts 🟠,,gumballsthoughts,152000,881,22900,13800
1,5,original sound - qouk_ka,"fyp, foryou, couple, couplegoals, relatable, couplecomedy, funny, humor, relationships, relationshipgoals, marriage, husbandwife, marriagehumor, trending, viral, love, mollyandjordy, xybca, fyp%E3%82%B7",mollyandjordy,164900,249,9045,4989
1,6,original sound - leaked1clipz,"lenaxmaury, fyp%E3%82%B7",selenaaryanaa,89300,186,5072,143
1,7,original sound - Kervo.dolo,,kervo.dolo,1100000,5947,86900,12000
1,8,original sound - 🌙✨,"prettygirls, %F0%9F%A5%BA%E2%9D%A4%EF%B8%8F",whyhatecandice8,14300,48,1584,17
1,9,оригинальный звук - 🤍|•𝚜𝚙𝚎𝚎𝚍 𝚜𝚘𝚗𝚐𝚜•|🤍,,meeynara,1100000,17200,132000,4209
1,10,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"fyp, viral, trending, couple, boyfriend",andrea.lopez44,55500,147,3202,127
2,0,sonido original - Yeison🩵,"fy, fyp, dancin, bachata, dancepartener, bf, lovemyboyfriend",.jaz.is.so.fab,2300000,11700,291600,44600
2,1,sonido original - ♕𝓒𝓸𝓻𝓪𝓵,,gumoisess,27700,862,6235,5153
2,2,original sound - Clifton Dean,,cliftondean,51700,433,3497,97
2,3,original sound - TEE & ZACH,"fyp, foodislife, foodie, boyfriend, couple, hawaiian, wingstop",theresa.leung,34900,48,794,88
2,4,original sound - 60 Second Lego,lego,60_second_lego,61400,274,8922,236
2,5,original sound - QnA 🗣️,"@rizz.app, texts, texting, rizz, textingstory",answeredintiktok,91300,192,8784,217
2,6,original sound - Barstool Sports,,mmmjoemele,188500,483,7896,1917
2,7,original sound - Mighty McClures,hilarious%F0%9F%A4%A3%F0%9F%98%82,mightymcclures,174800,2745,14200,8225
2,8,son original - Charli,"foryou, foryoupage, asmr, funny",auntiecharli,225800,2829,41900,1560
2,9,original sound - Paul Vu,,paulvutv,45500,612,7492,304
2,10,Put Your Head On My Shoulder - Julia with a G,@sweetpronto,thispronto,37200,539,3977,474
2,11,Confidence sped up - Stan :),,kieskin,202800,602,37300,1780
2,12,original sound - SohaLove,"movie, fyp, tiktok",sohalove4,28800,86,2129,134
2,13,nhạc nền - kax32476qxs,"beutifulgirl, game, fyp, foryou",kax32476qxs,2100000,10900,87100,45500
2,14,original sound - speedupthesounds,"ote, hoops, rollingloud, nelsonneumann",rollingloud.ote,51900,119,2382,26
2,15,original sound - Wouldyourather!,"jesus, crocs, game, yeezyslides, quiz, trivia, game, thisorthatsblv, crocs, whatwouldyouratherhave, fyp, fyp%E3%82%B7%E3%82%9Aviral, nyc, newjersey, newyorkcity",wouldyourather.officiaal,57300,23600,4723,56400
2,16,sonido original - soph,"alondrissa, twitch, rai, railo, alondrissaclipstwitch, fyp",nostalgiiicx,19600,72,2205,163
2,17,son original - matheo.off57,"prt, fyp, magic",matheo.off58,1100000,15600,50800,89200
2,18,original sound - Love seraph ❤️🔥,,wto843,7,0,0,0
2,19,merrily we fall prodbyraesam - deluluestduo,,meeynara,116000,511,13000,694
2,20,original sound - Bella_zpt,"%E0%B8%AA%E0%B8%9B%E0%B8%B5%E0%B8%94%E0%B8%AA%E0%B9%82%E0%B8%A5%E0%B8%A7%E0%B9%8C, zepetoapp, polska%F0%9F%87%B5%F0%9F%87%B1, hellozepeto, fyp%E3%82%B7, dlaciebie, dance, trending, %E0%B8%AA%E0%B8%9B%E0%B8%B5%E0%B8%94%E0%B8%AA%E0%B9%82%E0%B8%A5%E0%B8%A7%E0%B9%8C%20%E0%B8%AA%E0%B9%82%E0%B8%A5%E0%B8%A7%E0%B9%8C%E0%B8%AA%E0%B8%A1%E0%B8%B9%E0%B8%97, foryoupage, friends, transition, fypage, dc, capcut, challengezepeto, dc, zepetofyp%E3%82%B7%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F",zepetolovejay,53500,1059,12700,7199
2,21,Tacata - Tiagz,,diamantblazi,11500,138,626,71
2,22,оригинальный звук - scar1exa,almightyarcher,almightyarcher,36400,153,2208,131
2,23,original sound - Karim,"senseisw, calisthenics, streetworkout, workout, gymnastics, gymmotivation, sport, athlete, gym, gymtok, motivation, aesthetic, gymrat, power, strength, grip, calisthenicsworkout, calisthenicsathlete, calisthenicsreaction, workoutreaction, calisthenicspublic, public, reaction, viral, usa",sensei_sw,192200,3632,13900,1338
2,24,original sound - Promoter🚀❤️,"@bornchosn, @thatgirllaylay, youngdylansquad, capcut, whoisyoungdylansquad",youngdylansquad_backup,3270,97,432,20
2,25,do you mind - luu,influencercity,selenaaryanaa,202500,291,14800,386
2,26,original sound - its_Queen57,,blind_bag266,5,0,2,0
2,27,tokold on all plats - kold ⛥,,topkidshit,8713,310,864,44
2,28,original sound - Dayquan & Arianna,"guessthecelebrity, guessthecelebritybytheirlips, guessthecelebritybytheirmouth, couplescomedy, coupleschallenge, dayandari, capcut",dayandari,116800,315,7474,173
3,0,Fluffing a Duck - Kevin MacLeod,"@fifti_fifti67890, %D1%82%D1%83%D1%82%D0%BE%D1%80%D0%B8%D0%B0%D0%BB, %D1%80%D0%B5%D0%BA%D0%BE%D0%BC%D0%B5%D0%BD%D0%B4%D0%B0%D1%86%D0%B8%D0%B8, %D1%81%D1%80%D0%BE%D1%87%D0%BD%D0%BE%D0%B2%D1%80%D0%B5%D0%BA, %D1%82%D1%80%D0%B5%D0%BD%D0%B4%D1%8B, %D1%82%D0%B8%D0%BA%D1%82%D0%BE%D0%BA, trending, tutorial, xyzbca, xuhuong, tiktok, fyp, foryou, %D1%85%D0%BE%D1%87%D1%83%D0%B2%D1%80%D0%B5%D0%BA, 2024",7even_t2d,70400,623,18100,834
3,1,original sound - Court House,"fyp, judge, fyoupage",court.house6,1800000,11600,92000,13500
3,2,original sound - AYDEN MEKUS,"@knowunity, ad",aydenmekus,27000,198,2972,53
