batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,MOVE YO BODY - Bryansanon,,lanaslifeee,133800,2700,24900,550
1,1,original sound - Sara,"divorced, single, singlelife",sara.mi1ler,372500,109900,16100,15100
1,2,original sound - active <3,fyp%E3%82%B7,tina_042,405000,4635,23100,1075
1,3,original sound - Warkoz,,user198291940,726500,2102,87600,1764
1,4,sweet caroline but dark academia - fingerbib,"fyp, moonball, satisfying, tiktokmademebuyit, fidgettoys",leagionofrobots,677900,28900,35100,2731
1,5,original sound - 𝐉 ★ 𝐒,"meangirls, meangirlsedit, thankunext, arianagrandeedit, christmasedit",tzasons,296700,371,25500,701
1,6,orijinal ses - caner,,sinetmatteo,1000000,2476,36400,1164
1,7,original sound - KEEMOKAZI,,keemokazi,548900,2168,43700,887
1,8,Sloppy Seconds (Ick Pt. 2) - Lay Bankz,@kennabeann14,analisseworld,140500,225,11800,339
1,9,sonido original - Mauro Rossiello🪬,asmr,maurorossiello,246800,499,9651,779
1,10,2 days into college - Aimee Carty,,nnotej,442600,1371,26200,693
1,11,original sound - ThatLittlePuff,"thatlittlepuff, culinaryhacks",thatlittlepuff,559300,803,40900,2932
2,0,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"trend, comedy, trending",team2moms,78500,211,6126,89
2,1,Thanks for using this sound - plunger_gt,"gorillatag, gorillatagvr, gtag, funny, skit, fyp",plunger_gt,13200,3305,2952,315
2,2,original sound - tvdoaudios,lastmemory,lastmemory_official,327100,749,33500,1922
2,3,IS YA READY BOOSTED - ʳᵉᵃᵖᵉʳgravez (training arc),"roblox, fyp, kayflock, robanger, robloxkid, robloxsturdy, hoodgamesroblox, robloxhoodgame, robloxgames, dahood, robloxstory, robloxfyp, robloxhood, robloxgamestoplay",undeadbusiness,4834,221,1083,60
2,4,original sound - zinwithin,"cinnamonroll, cinnamonrolls",zinwithin,215300,4777,25000,10600
2,5,original sound - Marcelo Wang,"mandarin, chinese, marcelowang, slaybeatie, fentygloss, benefitcosmetics",marcelowang0527,2500000,13900,404100,75900
2,6,broken clocks jersey club - Ali Beats,,daniibellss,612600,2615,66000,6092
2,7,original sound - okshou,"johnnieguilbert, jakewebber, asmr",music.player37,243700,868,47500,1913
2,8,original sound - Jayden.P,,_jayden_perry_,659000,10700,145400,31100
2,9,original sound - Cash & Kate,,cashandkatie,93700,207,6392,161
2,10,original sound - Traeh | Motherhood & Lifestyle,"trivia, triviachallenge, tweendaughter, familygames, familyfun, gamenight, familygamenight, familycompetition",iamtraeh,151600,440,14000,137
2,11,som original - Bruno Fagundes,"humor, comedia, diy, bolo",byebrunofagundes,130800,2181,14200,1564
2,12,original sound,,lanaslifeee,106400,5161,13900,367
2,13,original sound - ZRudy2299,"xxxtentacion, music, subway",u_zrudy2299,565100,5611,53500,8712
2,14,original sound - AMYYWOAHH,"mom, school, blizzard, creep, kids",amyywoahh,59100,226,6098,93
2,15,Follow stylechannel - Stylechannel,"foryoupage, fyp%E3%82%B7, fyp, fyp%E3%82%B7%E3%82%9Aviral, fypage, trending, foryoupagee, relatable, funny",trinitys_playh0use,1300000,4633,142600,20200
2,16,original sound - Didios,"things, boys, advice",didiios,24000,2439,3692,9128
2,17,original sound - Madara Dusal,"humor, comedy, caribbean, church, mood, dancing, jamaica%F0%9F%87%AF%F0%9F%87%B2, dancehall",real_madara_dusal,44900,400,3968,1335
2,18,original sound - Salma,"foryoupageofficiall, pov, foryou, fyp, fyppppppppppppppppppppppp, meme, foryou, tiktok, pov, tiktok, fypage, goals, thukizin, deepvoices, men, man, boys, exposed",kimlynnez,107700,756,4873,1464
2,19,original sound - amber unraveled,,sabinaakielbasa,983300,1906,58100,10200
2,20,original sound - Marrk Adams,"comedy, viral",_marrkadams89,29100,348,4408,496
2,21,original sound - ICE SPICE FAN,,lanaslifeee,80200,2300,14600,683
2,22,sonido original - WS10,"roblox, mm2funnymoments, robloxfunny, roblox, mm2fyp, relatable, mm2club",mm2_ws106,73400,145,11200,391
2,23,original sound - Thoren Bradley,,bradley.thor,96400,688,4933,334
2,24,som original - Sandrin do Conteúdo,"satisfying, asmr, agro, viral",sandrin_do_conteudo,3800000,82300,237000,117900
2,25,original sound - Jay,"diamantblazi, seckoff, kobeshoes",diamantblazi,188100,2445,13800,1428
2,26,looksmaxxing - ayko,"fyp, foryou, veterinary, mewing, parati",itzy.malfoy22,3100000,37100,298800,105600
2,27,original sound - screaming girl,"roblox, mm2, mm2roblox, fyp, capcut",.zovaxr,36700,850,5653,193
2,28,dc fefezete - Maria Fefe,,emillyvickof,260600,5186,17800,2052
3,0,sonido original - Alex,alondrissa,hsx.07,23000,95,2984,169
3,1,original sound - Roblox: KR4IIS🫶,"@mm2_ws10, fyp, mm2, viral, blowup, foryou, ws10, 3d, element, quality, clipped, viral, foryoupage, fyp",mm2._kris,226200,4205,44400,984
3,2,original sound - ꨄ Skyy ꨄ,"laylowjacksonandmiya, edit, cheating%3F, wtosquad, nomoretags",skyyluhvss,23000,383,3611,67
3,3,NO IDEA slowed l reverb - Ziah150,"fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, iamwahid_",dreamyabdul,568,788,79,38
3,4,오리지널 사운드 - TOMORROW X TOGETHER,,meeynara,129000,424,12200,871
3,5,It girl x just dance - jovynn,,charlidamelio,504300,2616,15800,1078
3,6,original sound - Dana Biggs,,danabiggs,171500,1288,10600,835
3,7,som original - CABRA VÉIIIH,,wagnerpedreiroo,132900,2378,6729,1148
3,8,original sound - matterxwonder,"nalish, fyp, viral, edit, love, nidalwonder, saysaymatter, ship",matterxwonder8,141300,519,15600,700
3,9,Horror Backsound 2 - N.I.A,"@daytarot_, ori",liandracarla_,123200,1102,11400,3586
3,10,original sound - Nasir Valentino 🕸️,"fyp, viral",itsnasirfr,476700,63600,54100,1327
