batch,index,music,hashtag,author,likes,comments,shares,saves
2,3,IS YA READY BOOSTED - ʳᵉᵃᵖᵉʳgravez (training arc),"roblox, fyp, kayflock, robanger, robloxkid, robloxsturdy, hoodgamesroblox, robloxhoodgame, robloxgames, dahood, robloxstory, robloxfyp, robloxhood, robloxgamestoplay",undeadbusiness,4833,221,1083,60
2,18,original sound - Salma,"foryoupageofficiall, pov, foryou, fyp, fyppppppppppppppppppppppp, meme, foryou, tiktok, pov, tiktok, fypage, goals, thukizin, deepvoices, men, man, boys, exposed",kimlynnez,107700,756,4873,1464
2,22,sonido original - WS10,"roblox, mm2funnymoments, robloxfunny, roblox, mm2fyp, relatable, mm2club",mm2_ws106,73400,145,11200,391
2,27,original sound - screaming girl,"roblox, mm2, mm2roblox, fyp, capcut",.zovaxr,36700,850,5653,193
3,11,original sound - Moana 🌊,"rbxmoana, fyp, foryou, mm2, mm2roblox, mm2fyp, murdermystery2, roblox, teamer, mm2teamers, actives%3F",rbxmoana,5629,220,857,4
3,14,original sound - chase,"mm2, mm2roblox, mm2funny, mm2fyp, roblox, mm2sheriff, @vanilbean",mm2.frosty,80800,1033,10200,204
3,24,original sound - screaming girl,"roblox, mm2, mm2roblox, fyp, xyzbca, fyp%E3%82%B7",.zovaxr,19500,295,2347,48
4,3,original sound - jahgotbags,"roblox, robloxfyp, vc, vctrolling, trolling, fyp, robloxvoicechat, prank, plaqueboymax",jahgotbags,135100,781,30800,649
4,4,Originalton - marisa.b.a,"berryavenue, berryave, berryavenueroblox, roblox, berryaveoutfitcodes, beryavenueoutfitcodes, berryaveroleplay, berryaverp, berryavenuerp%F0%9F%8F%A1, fyyyyyppppppppppppppp, vrial, berryavegirlcodes",marisa.b.a,8090,170,4415,227
4,7,sonido original - galo★,"twitchalondrissa, alondrissa, twitch, rainelissss, alondrissayrai, viral, fyp, parati",.gal.o,6902,17,941,37
4,17,Those Eyes - New West,"@jstadams, @ainz.nadz, obv1harry, mm2, murdermystery2, roblox, sad, edit, robloxedit, robloxfyp, fyp",obv1harry,34900,1201,5894,440
4,21,original sound - Greg Renko,"fyp, foryou, gaming, gamer, videogames, gamingmemes, funny, relatable, npc",gregrenko,37000,62,5040,67
4,23,original sound - Funny,"meme, funnyvideos, fyp",memebrzi,4800000,37400,486100,159400
5,0,original sound - 🥓,"@vilecord, fyp, roblox, viral, robloxedit, baconhair, bacon, aftereffects, ae, edit, coolbaconman87",coolbaconman87,152900,3275,40900,2586
5,8,original sound - screaming girl,"roblox, mm2, mm2roblox, fyp, xyzbca, fyp%E3%82%B7, foryoupage, christmas",.zovaxr,38100,733,5463,153
5,9,original sound - ella,"@mm2_ws10, fyp, roblox, mm2, mm2roblox, mm2fyp",aestx3lla,172800,1689,31700,1059
5,10,original sound - llxllie,"mm2, murdermystery2, roblox, robloxmm2, mm2roblox",llxllie,4374,535,441,9
5,17,I Have No Enemies - ★DGK132105,"roblox, fyp, trending, foryou, murdermystery2, mm2",focuswrldd,14800,532,2502,183
5,21,original sound - vani,"vanilbean, vani, ws10, chase, mm2, mm2fyp, roblox, foryou",vanilbean,566800,4557,98600,1618
5,27,original sound - daradrex,"fyp, fyp%E3%82%B7, viral, viralvideo, viraltiktok, babft, bab, roblox",not_real_ted,700900,6275,65099,3863
