batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - REEKON Tools,,reekontools,642400,3878,105400,77700
1,1,IMMMMM UPPPPP - Antwitdatfatty 🍑,"fyp%E3%82%B7, relatable, trending, aylecia, xybca",leci.bby,265500,1063,41700,3756
1,2,오리지널 사운드 - 4X4STUDIO,"@4x4studio, fyp, foryou, foryoupage, bestfriends, trio, besties, funny, dancetrend, trend, dance",ash.and.tay,2100000,5647,145800,21200
1,3,Half On a Sack - Three 6 Mafia,"kobeni, kobenihigashiyama, chainsawman, cosplay, anime, kobenicosplay, foryou, fyp, csm, chainsawmancosplay",ssayakoo_,37500,178,4193,490
1,4,Le Monde - From Talk to Me - Richard Carter,"football, soccer, challenge, beach, asmr",narkevichag,243800,583,14400,918
1,5,u better f me like u mean it - 𝖗𝖏 ☆,@vonandkiko,hiskiko,321200,2638,42700,4778
1,6,son original - Mohamed,"@clark_walker, teamtekos",champion_d_afrique,138700,41300,26400,56700
1,7,original sound - Griswold.Fam.Bam,"dealornodeal, dealornodealchallenge, dealornodealbirthdayedition, dealornodealgame, birthdayboy, presents, dealornodealisland, howiemandel, giftsforhim, giftsforteenagers, familyfunny, foryou, game, whatsinmybag, weirdtags, fyp, 16thbirthday",griswold.fam.bam,63500,3996,2538,754
1,8,original sound - European kid,,theeuropeankid,1500000,4518,67800,4799
1,9,origineel geluid - Mo_vdbb,"fyp, foryou, fy, foryoupage, foryourpage, viral, xyzbca, hair, hairstyle, men",mo__vdbb,525500,5656,48300,4029
1,10,orijinal ses - caner,,infamous_wu13,450900,4689,53600,970
2,0,lucid dreams YKARE cover - ykare,"juicewrld, luciddreams, fyp%E3%82%B7%E3%82%9Aviral",whyk4re,3900000,18700,362100,74500
2,1,原聲 - JIZIFANFAN,ootd,jizifanfan,15600,32,1146,73
2,2,som original - 𝐁𝐮𝐧𝐧,"pov, makemeyouraphrodite, cinderella, fantasy, lovestory, trend, crazycae, foryoupage, fyp, funny",crazycae,318200,1714,33000,2205
2,3,TRINIX x YAME - TRINIX,mksvision,mks.vision,20900,125,1006,84
2,4,Candyman (Ultimix Mixshow) - Christina Aguilera,"fyp, foryou, @flemkristine",eliseesaebones,225100,1893,19000,6952
2,5,原聲 - welovedogs,"dogs, dogsoftiktok, lovelydogs, cutedog",yinweizhou,698800,20500,43600,182100
2,6,PHONK BRASILEIRO FRESCO - DJ MOIGUS & DJ FKU,"giant, dc, universal, therock, colossus, comics, marvel, store, small, people, sparta, ford, mustang, legday, huge, dior, subway, gucci, partofme, security, newyorkcity",lucaslakutsin,2500000,19900,131800,35900
2,7,LALALALA - Stray Kids,"straykids, kpop",bebopandbebe,399600,8578,36400,8900
