batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - fr0sty_rick,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,280400,628,15600,165
1,1,original sound - RĮÅH 👾,"fortnite, fortnitememes, fortniteclips, fyp, fyp%E3%82%B7, funny, fortnitechapter5, fortniteunderground",icesqu1d5,2400000,33700,240600,82200
1,2,original sound - I olny have eyes for him❤️‍🩹,,olnyeyesforhim34,52,3,1741,0
1,3,original sound - Lil Tony Fr,"heart, fyp, ontopmelo, fyp%E3%82%B7, romantolit",ontopmelo__,52000,594,7692,141
1,4,original sound - Caicee Nichole 💞,,oh.emszxy,171200,609,13800,1691
1,5,original sound - Wren & Jacquelyn,drinkchallenge,wren.eleanor,625500,2423,23500,1839
1,6,original sound - josh,"dogtherian, cattherian, paleotherian, cladotherian, therian, therianthropy, cladotherianthropy, otherhearted, furry, furryfandom, furrytiktok",dittos.den,12100,599,3118,114
1,7,original sound - deandreknowles96,,novukaa,293400,1226,17100,771
1,8,original sound - Cameron Roh,fyp,cameronrohpovs,586900,16700,124600,12600
1,9,Left - Summer Version - iamB4,,jadelidamelio,343500,1568,34900,701
1,10,original sound - CFN Cabbage,"fyp, xybca, cfn, mammoo, thatoneperson",bigcabbage56,945100,4146,127400,10200
2,0,yaal are so finee - ¥,,bby..juana,224800,777,15800,650
2,1,ewww brother eww - Sofia_AlAfia,"islam, muslim, halal, biology, scandinavia",shxxdi_,56300,1393,5019,545
2,2,Mama Cry - YNW Melly,"fyp, carringtonhenry, trending, goviral, motivation, motivacional, storytime, shot, bitrthday",carringtonhenry,797600,10800,37900,2525
2,3,World A Music - Ini Kamoze,,coral_rafa,6200000,92600,357000,125800
2,4,original sound - Weirdo,"foryoupage, foryou, fyp, funny, comedy",weirdow0rld,424000,3290,66500,5688
2,5,original sound - 🍄🦊*°Fern°*🦊🍄,"capcut, capcut, nc, therian, foryou, fypp, fyppppppppppppppppppppppp, fyp, fyp%E3%82%B7%E3%82%9Aviral, northcarolinatherians, fyp%E3%82%B7, theriancommunity, theriantiktok, therianmask, theriangear, northcarolinatherian, therianthropy, therianpride, support, naturelove, nature",wild._fern,801,52,114,2
