batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Jurassic Park Theme - Voidoid,"pawrenting101, pawrents, park, tank, yorkie, yorkiesoftiktok, sweaterweather, hoka, tank_ms, bestdayever",tank_ms,3900000,8900,210100,146400
1,1,original sound - divin,,ellielobio,241100,477,21500,628
1,2,I Wouldnt Mind - ♱,"christiantiktok, christianhumor, christianjokes, christiancomedy, christian, christianitytiktok, godisgood, jesussaves, jesusislord",dangmattsmith,164100,2908,21200,692
1,3,Wop × Untouchable - ARNEL REMIX,,iyakhyar0v,205800,2118,14400,851
1,4,son original - olivia ✩,"pov, @ella.rene, foryoupage",mr.spicygremlin,920500,1634,50100,550
1,5,original sound - Nick&Carrie,"fyp, couple, relationship",nickandcarrie,89100,350,4889,404
1,6,original sound - Nav💗 (deftons version),,ionlyluvhim_,8,0,0,0
1,7,Dream Away - Ramol,"@aliya23219, viral, genderreveal, heartwarming, couplegoals",hannahschibicreations,696800,2141,24000,1426
1,8,original sound - laura 🕷️,"foryou, foryoupage, viral, xybca, thesquad, piperrockelle, levcameron, tiffanyrockelle, awareness",filmsforfergi,27200,95,2681,27
1,9,Praise Jah In The Moonlight - YG Marley,"viral, goviral, uk_jacobday, fyp",uk_jacobday,97100,192,3802,119
1,10,original sound - magnet 🧲 🧲,foryou,magnet092,1800000,6375,110200,32000
1,11,original sound - Matieloveta❤️❤️❤️,"finaldestination2, comedy",matieloveta2,656400,6189,54000,8628
2,0,original sound - Dark Predictions,"fyp, venturabeach, california",darkpredictions,69300,3374,5122,5465
2,1,son original - the.trump.fan2024,"trumpshirts, realdonaldtrump, donaldtrump, donaldtrumpfan, trump2024, maga, republicans, american, trumpsupporters, uspresidents, politicaldebate, maga2024, trump, trump2024, motivation, trumpmotivation",thetrumpfan2024,374800,14300,18800,36000
2,2,original sound - Pubity,pubity,pubity,3900000,71500,225100,163400
2,3,sonido original - ADELEMX,"rollinginthedeep, adele, adeleadkins, adelefans, adeletupatrona, fyp",adelefanpagemx,6300000,32400,599300,37600
2,4,"""Moonlight"" in the dream (Beethoven) - LEOPARD","narcissist, revenge, selfawareness, selfawarenarcissist, thebatwolf",the_bat_wolf,44900,1574,9269,5247
2,5,Hoist the Colours - Bass Singers Version - Bobby Bass,"northsea, explore, adventure, fyp, foryou",ourplanet.8,143000,2970,14500,5383
2,6,Chill Vibes - Tollan Kim,"meghanmarkle, duchessofsussex, katemiddleton, princessofwales, catherine, breakingnews, royals, royalfamily, drama, uk, england, british, greenscreen",hrhgossip,6532,1020,751,131
2,7,original sound - Attorney Pish,"lawyer, law, facts, tips, learn",attorneypish,235500,14800,9945,3853
2,8,original sound - 🌏 Videoplanetoffical 🌏,"videoplanetoffical, fyp, goviral, uk, viral, foryoupage, neighbours",videoplanetoffical,535300,7863,58800,3069
2,9,original sound - Darktales Animations,"animationmeme, inflation, shopping, unitedstates, usa, fyp, worklife, companies",dark_tales0,580400,8260,50100,29500
2,10,sonido original - karen Paniagua videos,"parati, peru, travel",karenpaniaguavideos,64500,1328,4540,580
2,11,original sound - Brent Natzle,,brentnatzle,51300,5448,5097,11900
2,12,original sound - Chloe Taylor,"thingsgirlsdo, chloetayloruk, relatable, fortheboys",chloetayloruk,355500,4285,38500,2143
2,13,Stargazing (Slowed + Reverb) - Marcelo De Carvalho,"christiantiktok, jesussaves, marmariemmanuel, music, hollywood",yhwhboi,271300,4356,50900,11800
2,14,original sound - Beto.Media,,beto.media,10100,3003,700,371
2,15,Epic Music(863502) - Draganov89,"recipes, tumeric, fyp, usa, southafrica, naturalremedies, healthtipstiktok",changeyolifetoday,38500,379,19200,20300
2,16,original sound - eazymann2499,"viral, fyp%E3%82%B7, youtubechannel_beazymann, icespice, taylorswift, superbowl",b_eazymann,7709,1394,1029,4570
2,17,original sound - Swifties Taylors fans,"@taylorswift, vmas, taylorswift, arianagrande, jlo, showmustgoon",swifties200,159300,631,6772,389
2,18,original sound - Mike Landolt,"wow, laineywilson, roadrunner, loveit, %E2%9D%A4%EF%B8%8F, countrymusic, tiktok, love, follow, like, explorepage, likeforlikes, letsgo, trending, music, cute, music, likes, lfl, repost, followme, foryou, loveyou, foryoupage, fyp, viralvideos, tik, tok, fy, fyy, country, livemusic, like, star, concert, fan, concerts, fans, video, new, fun, fire, mustsee, musicvideo, singer, famous, pretty, hot, perfect, country, countrysinger, nashville, countrygirl, instagood, beautiful, happy, fyp%E3%82%B7%E3%82%9Aviral, virall, viralvideo, viraltiktok, fyppage, repost, perfect, laineywilsondumptruck, lainey, queen, laineywilsonmusic, dance, dancing, laineywilsonconcert, crowd, passion, superstar",livingthegoodlife24,507300,1901,23700,2659
2,19,It is a long song with a strong mystery.(1041687) - syummacha,"lanadelrey, musicindustrysecrets, darkhollywood, scary, creepy",grace.mitscherlich,525200,7786,74300,5459
