batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Cotton Eye Joe (Line Dance Remix) - Rednex,fyp,marleiajasmine,3500000,23900,321600,32600
1,1,original sound - doyoucare😐,"salmajabarbique, fyp, foryoupageofficiall, fyp%E3%82%B7, foryourpage, crocs, converse, shoes, trend",salmajabarbique,1900000,15200,162200,16400
1,2,som original - netobaetas,,netobaetas,617800,2417,31300,3031
1,3,original sound - NaomiHearts,"relatable, plussize, foru, plussizeedition, funny, comedy",naomiheartsxo,576000,8841,45700,20400
1,4,original sound - Zayaan,"spotifywrapped, spotify, zayaanvids, zayaan, greenscreen",zayaan4,523400,3547,76700,1196
1,5,original sound - QCP,@cooking_with.kian,itsqcp,332000,565,23100,327
1,6,som original - sara,,m0rguekitty,50600,1596,5078,4057
1,7,som original - Raphaela Diniz,"vaiprofycaramba, viral, fyp%E3%82%B7",raphaela_diniz,487200,2533,27200,868
1,8,som original - Turma_Mata_mouros_dia_a_dia,,turma_mata_mouros_diadia,130400,189,8407,387
1,9,Reggaeton Champagne - Bellakath & Dani Flow,"alondrissaclipstwitch, twitch, foryou, alondrissa, rainelissss, alexomarr",raialondrisalex,11900,47,1335,67
1,10,Originalton - ♡,,chanderland,15500,111,1571,138
1,11,soak city (do it) - 310babii,,gioiaaguidolotti,569000,5899,23800,8039
2,0,original sound - first.take.clips,"nfl, stephenasmith, 49ers",first.take.clips,29500,488,1369,997
2,1,original sound - t2k816,"superbowl, worldchampions, nfl, football, truckersoftiktok%F0%9F%9A%9B%E2%98%A0%F0%9F%8D%BB, truckerslifestyle%F0%9F%92%AF%F0%9F%98%8E%F0%9F%98%8A, hammerlane, leftlanegangoutlaw",biggriggjones,9831,129,322,701
2,2,original sound - Coach G.O.A.T,"brittanymahomes, drunk, wasted, parade, interrupt, speech, wife, parade, nflfootball, footballedit, superbowl, superbowlparty, party, stage, 49ers, patrickmahomes, taylorswift, traviskelce, nfl, sportstiktok, victory, chiefs, chiefskingdom, kc, kcchiefs, embarrassing, football",realjasonjdaniel,53400,964,2430,3611
2,3,"Suspense, horror, piano and music box - takaya","nfl, sports, rigged, weirdtime, proof, illuminati, unbelievable, greenscreen",itsweirdtime,4612,257,525,436
2,4,original sound - carly,"tswift, taylorswift, traviskelce, swiftie, swifttok, erastour, erastourtaylorswift, tayvis, taylorsversion, eras, theerastour, traviskelce, chiefs, taylorswifttraviskelce, superbowl, superbowl2024",karmaisacat.1989,8194,129,1180,386
2,5,original sound - CYFY,"patrickmahomes, superbowl, kansascitychiefs, nfl, @patrickmahomes_official, @nfl",elitebrainperformance,156400,809,4183,2364
2,6,original sound - Elvisual,,realdockery,19000,123,1114,392
2,7,original sound - ESPN,"patrickmahomes, sportscenter, boosie, chiefs, superbowl, disneyland",espn,44000,475,1468,314
2,8,original sound - The Sporting News,"nfl, superbowl, patrickmahomes, fyp",thesportingnews,10200,231,422,213
2,9,original sound - bleacherreport,"@nfl, nfl, football, chiefs, traviskelce, andyreid",bleacherreport,58400,1026,2880,775
2,10,original sound - NFL,"patrickmahomes, superbowl, nfl, kansascitychiefs",nfl,893300,8001,43100,8920
2,11,original sound - Dflrobert,"taylorswift, american, americanidol, fyp, engagement, superbowl, nooneknows, usher, usherhalftime, taylor, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, viril, viraltiktok, traviskelce, engaged, kansascitychiefs, patrickmahomes, money, sports, nfl, fypp, fyp%E3%83%84, fyppppppppppppppppppppppp, fypdong, fypgakni, fypsounds",genuinerealone,19300,0,2178,206
2,12,original sound - Theacefamily,,stayingupwithsara,48100,266,1122,308
2,13,original sound - ESPN,"patmcafee, patrickmahomes, sports, nfl, messi, @patmcafeeshowhighlights",espn,30700,4042,1170,157
2,14,Waiting Room x Fix You - Anni<3 (Noah‘s Version),,laysspam69,22600,111,588,93
2,15,Old Disney Swing Jazz - Nico,"nfl, nfluk, americanfootball",nfluk,7662,73,296,92
2,16,original sound - Linds,"greenscreen, patrickmahomes, kansascity, chiefs",lindsaygorsen,22300,263,299,60
