batch,index,music,hashtag,author,likes,comments,shares,saves
1,4,original sound - MamaCookie,"anotherdayanotherdinner, nunezfamilyof4, nunezfamilyrealitytv, fyp, dinnerideas, breakfast, @m.vapparel, @daydreameddesignsllc, @big_sis_kris",itsmamacookie,966600,4171,133300,18900
1,6,original sound - Zach Choi,"tiktokfood, asmr",thezachchoi,1400000,4631,187800,33100
2,3,original sound - antojitoslindamar_,food,antojitoslindamar_,37600,241,7002,348
2,19,original sound - Weird Ryan,"toilet, candy, food, eating, asmrfood",weirdryanstuff,15700,16600,3151,761
3,10,original sound - Cooking 🧑‍🍳,"cooking, food, tiktokfood, asmr",cooking_asmr39,111100,407,23800,3712
3,20,original sound - Fan Account 115,"asmr, cooking, foryou",fan.account.115,63900,107,3657,244
4,1,original sound - MariClareMacLamroc,"fyp, fy, relationship, baby, teenmom, mom, mommy, momlifebelikethat, trending, 15andpregnant, toddler, dinner, dinnerideas, dinnerwithme, dinnertime, dinnerisserved",_mariclaremaclamroc_,543700,4677,25100,1730
4,3,original sound - Food Dudes,"italianfood, easyrecipe, cheese, crockpot",fooddudescook,310700,17700,117700,95800
4,4,original sound - Films,"fyp, foryou, foryoupage, viral, goviral, tiktok, hashtag, tiktoklongs, toktokfood, tiktokfood, viralvideo, viralsong, trendingsong, trending, trend, trendy, film, series, movie, movieclips",firehousedog1,41200,564,7103,1294
4,8,nhạc nền - Thegoat_Spizee,"asmr, mukbang, food, couple, mukbangvideo, takip, muk, challenge, spicy, fyp, viral",thegoat_spizee,270800,2499,29800,1914
4,27,original sound - Zach Choi Fan,"tiktokfood, asmr, usa%F0%9F%87%BA%F0%9F%87%B8, usa",smleyj,285800,1273,22500,2003
5,1,original sound - LukeDidThat.Fan,"spicy, spicyfood, mukbang, challenge, asmr, fyp, fyp%E3%82%B7",lukedidthat.fan8,5143,58,508,81
5,7,SLOWED CORE - Phonk - J4H3D,"satisfying, tiktokfood, lifehack",kyleistook,89400,1939,11100,1522
5,11,orijinal ses - Bongil Asmr,"bonggil, bonggileats, bonggil_asmr, mukbangbonggil, eatwithbonggil, mukbang, asmr, mukbangasmr, delicious, food, foodtiktok, yummy, eating, eatingshow, asmrfood, asmreating, foodchallenge, foryou, fyp, fyp%E3%82%B7%E3%82%9Aviral",mukbang_asmr_15,26600,89,1371,186
5,14,オリジナル楽曲 - バヤシ🥑Bayashi,"tiktokfood, asmr",bayashi.tiktok,431800,5408,18500,1504
5,18,original sound - Zach Choi Fan,"tiktokfood, asmr, usa, usa%F0%9F%87%BA%F0%9F%87%B8",smleyj,39900,60,3337,259
5,20,original sound - Lazy Pot Noodle🍜,"@bloomnu, bloompartner, lazypotnoodle, foodie, foodies, foodtiktok, foodtok, easyrecipes, food, burger, fries",lazypotnoodle,428400,2093,34500,2770
5,22,original sound - Queen Beast,"mukbang, foodie, fyp, viral, fiveguys, burger, foodtiktok, eatingshow, foodcritic",queenbeastofficial,68300,367,6059,137
