batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Gavin.kernstinee,igmirandahhmarie,mirandahshaul,212100,2098,12900,4412
1,1,original sound - theyeetbaby,"miraculousladybugtiktok, fyp, miraculousladybug, miraculous, ladybug, catnoir, lilarossi, baldibug, baldinoir, baldibugnoir, lilamiraculous, liela, lielarossi, lilarossimiraculous",lladynoir4life,132700,1080,12800,970
1,2,original sound - Paul,,asher.lara,255900,1444,15900,1251
1,3,Wop × Untouchable - ARNEL REMIX,"whapwhapchallenge, untouchablechallenge, polishgirls, cheerleaders, cheerleadersoftiktok, dance, girls, hashtag, viral, trend, viralvideo, trending, tiktok, poland, foryoupage, foryou, dlaciebie, fyp, fp, dc, fyp%E3%82%B7",cheerleadersmaxi,134300,537,11500,1193
1,4,original sound - Diamond & MOBS,"pranks, family, fun, funnyvideos",vsdiamond7,95100,909,17200,830
1,5,original sound - Jalessa🤍,,theofficial.jale,141100,204,12400,1188
1,6,original sound - Ranvision 軟趴皮,"fyp, real, floptok, fyp%E3%82%B7, foryoupage, blowthisup, foryou, xybca, fup",emoclitmastree,41800,2053,5140,477
1,7,original sound - Marrk Adams,"comedy, viral",_marrkadams89,29200,348,4423,497
1,8,original sound - Funny_baby69😂,"foryou, animals, fyp, tiktok, pet, catsoftiktok, dog, cat",funnyanimal435,1500000,8276,149000,108800
1,9,sxbas.lyc66 - 😾,@notlikeashh,dyn.daya,297800,708,28000,1450
3,0,original sound - prayer2023,"jesusmessage, amen, jesusislord, jesuschrist",prayer2023,289100,36700,45300,27800
3,1,Emotional Piano for the Soul (Inspirational Background Music) - Fearless Motivation Instrumentals,,juliasweet5154,7146,1373,171,25
3,2,Memory Reboot - VØJ & Narvent,"techtok, gaming, pcgaming, toasterztech",toasterztech,235700,53400,80700,10700
3,3,nhạc nền - Dímelo maní,,lasbromasdellocojack_fan,3412,41,424,85
3,4,original sound - Coast Canyons Pack,"fyp, fy, fyp%E3%82%B7, foryou, foryoupage, furry, furryfandom, furrytiktok, raptormaskfurry, furrytiktoker, fursuiter, fursuiting, furrypride, furryfandom, justiceforbannedfurries, stopfurryhate, probablyluna",luna_.floofs,78,94,7,0
3,5,som original - 🌙 ✧ 𝗺𝗼𝗼𝗻. ꒱,,daniinevado_,2100000,11900,275200,81700
3,6,sonido original - Merota,"fyp, animalover, perros, viral, tiktok, fyppppppppppppppppppppppp",f.ailynn,5700000,38500,389200,199300
3,7,original sound - Tayo Ricci,,tayoricci,21000,321,2056,107
3,8,original sound - sevcalls,"zho, talktostrangershes",sevcalls,122000,252,9641,309
3,9,Cha Cha Freestyle - 🛸LINK🛸,"fyp, cousins, relatable",whokassyy,340200,3878,34700,3429
3,10,Astronaut In The Ocean - Masked Wolf,,imaubreykeys01,18500,783,589,141
3,11,original sound - ᴳᴬᴱ ᖭི༏ᖫྀ🌿🫎,,jorge_arritola,138400,378,3826,101
3,12,son original - world of farts,"fart, compilation, top10, coveryourfarts, viral, farting",worldoffarts,464300,983,40800,5454
3,13,original sound - Shlatfish,,shlatfish,1600000,4623,161800,32600
3,14,original sound - Ellen DeGeneres,"theellenshow, brielle, kidexpert",ellendegeneres,7900000,39700,515400,177700
3,15,original sound - mckinley richardson,,mckinleyrichardson,67200,255,3361,57
3,16,"Automotivo XM, Taka Taka Taka Tá - Dj Brunin XM & Mc Lullu & Mc Erikah & Kinechan","pourtoi, fyp, international, trend, dance, germanyvsjapan, automotivo, remix, vote, vs, 2024, viral, vibes2024, battle, dijon, portlanouvelle",malik_mrc,7000,382,843,112
3,17,original sound - kpopvrycs,,venicewong4u,27500,240,2809,125
3,18,Curiosity - Danilo Stankovic,"quiz, quiztime, generalknowledge, usa, fyp, viral, makeitviral, usa_tiktok",trivia.lol,281200,43900,27800,127900
3,19,original sound - Cey&Jai❤️,,itsceyandjai,95700,274,5110,561
3,20,Where you are (Vocals only) - Halal Beats,"facts, girl, love, crush, boy, amazing",winningspirit_,37600,3099,6718,47300
3,21,original sound - Betch,,betch,16500000,92500,1700000,336800
3,22,original sound - Ben Blue,stitch,benblue01,188700,2707,18400,9550
4,0,nhạc nền - Scare.prank.USA,"scarepranks, scarecam, jumpscare, fyp%E3%82%B7, funny, viral, foryoupage, scarecamchallenge, hahahahahaha",scare.prank.usa6,952300,4981,93800,37700
4,1,original sound - Lukenizzy,"fyp, fyp%E3%82%B7%E3%82%9Aviral, couplestiktok, foryoupage, fyp%E3%82%B7, blowthisup, lukenizzy",lukenizzy,4900000,7834,400300,43700
4,2,original sound - Tyrell 💕,,thatcurlycanadian,242100,1911,19400,511
4,3,WOBBLE by V.I.C - sped audio plug,"fyp, xyzbca, fypage",ruby._rojas,49000,97,3841,85
4,4,original sound - TheJoeRoganRewind,"fyp, viral, friends",thejoeroganrewind,364400,2282,35500,835
4,5,original sound - Tommy Thanh Bui,"fyp, foryou, tommybui, viral",tommythanhbui,9870,83,650,22
4,6,original sound - Outdoor cooking,"outdoorcooking, cookingasmr",outdoorc00king,2300000,3983,132100,21900
4,7,original sound - Marta🌹,livingalone,marta.swans,45400,15200,1765,775
4,8,som original - 👉𝐇𝐀𝐆𝐀 𝐂𝐋𝐈𝐂👈,,jessicafindc,29600,1338,979,123
4,9,Laughing - Gianluca Marino,"fy, fyp%E3%82%B7, parati, funny, gracioso, funnyvideo, duet, learnontiktok, baby",_funny_clipzz,871300,3680,126300,13400
4,10,original sound - Ghost,,ghosst.soae,11500,144,2203,981
4,11,It's Not so Bad - Cummrs,recovery,paulieepaull,675300,16500,56900,1310
4,12,original sound - MostValuableInvisiblePlayer,"couplegoals, fyp%E3%82%B7, funnyvideos, dadsoftiktok, dad, funny, mustwatch, watchtillend, fy, fyp, foryou, foryoupage, foryourpage, explore, explorepage, viral, viralvideo, viraltiktok, trending, tagsomeone, tagafriend, couple, goals, laugh, enjoy, new, 2024",always_thinking_more,720700,2754,100300,18900
