batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,I Wouldnt Mind - ♱,"christiantiktok, christianhumor, christianjokes, christiancomedy, christian, christianitytiktok, godisgood, jesussaves, jesusislord",dangmattsmith,164000,2907,21200,690
1,1,original sound - ABKYS,,aubreykeeyyysss,30900,1364,1158,121
1,2,original sound - KEEMOKAZI,onthisday,keemokazi,300100,1704,31600,1016
1,3,Lemme get that - Frizz🗽.,,lev_cameron,276500,394,16100,770
1,4,original sound - Fargo Diamond,"fyp, foryoupage, viral, explore, funny, hilarious, laugh, kids, daughter, parents, comedy",fargodiamond,7300000,56500,712600,257399
1,5,nhạc nền - Scare.prank.USA,"scarepranks, scarecam, jumpscare, fyp%E3%82%B7, funny, viral, foryoupage, scarecamchallenge, hahahahahaha",scare.prank.usa6,926300,4763,90700,36800
1,6,son original - Cilia ghass ⵣ,"hair, curly, fast, hairstyl, onfleek",cilia.ghass,995000,15000,63700,13900
1,7,original sound - The Relationship Hub,,brycemckenzie,194600,177,9563,803
1,8,son original - Blazidiamant,"fyp, viral, pourtoii, basketball",blazidiamant,19100,143,882,47
1,9,som original - Turma_Mata_mouros_dia_a_dia,,turma_mata_mouros_diadia,136500,199,8953,402
1,10,BELLAKEO - Tiktok - Peso Pluma & Anitta,"anitta, reggaeton, cat",hannaeleo,7700000,66500,590000,328700
1,11,original sound - Jay,,diamantblazi,156700,2929,7095,858
2,0,original sound - Haley 🌙 | aemkniqht,"fu, erich, money",mezrichest,1100000,28000,101100,20800
2,1,Cintureo - Remix - jey one & Yoan Retro,"xyzbca, %F0%9F%87%A9%F0%9F%87%B4, parati, fyp%E3%82%B7",xx_cqv,864900,11800,94300,75100
2,2,original sound - spo6kzie,"fyp, funny",thesydneysmiles,33000,376,3979,180
2,3,Bécane - A COLORS SHOW - Yamê,"andreavonspeed, catsoftiktok, foryou",thekittyandrea,13800000,70400,1000000,302800
2,4,original sound - JAYLLNN,coffee,realjayllnn,185000,1611,13000,2116
2,5,original sound - Kira Kosarin,"longvideo, dance, ballet, organizing",kirakosarin,485300,571,18700,240
2,6,original sound - Jalen and Josiah,"twin, weretwins",jonesstwins,460700,2684,15300,3242
2,7,original sound - 703,"fyp, funny, relatable",703.naz,1500000,3966,194400,18800
2,8,original sound - 🎧♡,"voorjou, fyp, fy, siblings",kfinaut,244200,4280,26300,1555
2,9,original sound - DNSTY,"shenseea, 2024, trending, fyp%E3%82%B7, family, viral",valentinaregis,10900,133,392,54
2,10,Photograph - <3,"@simplesentiments, kanebailey",officialkanebailey,20200,97,1939,79
2,11,Originalton - darkvidez,,ely8z,91400,209,7020,348
2,12,original sound - Taj.Mahal,,kassieemariee,762900,2289,78900,6461
2,13,original sound - ame😂,,nevaaadaa,5900000,20400,384900,13400
2,14,som original - Pr1nces4👑,,pr1nces4.ff,332300,2657,21900,458
2,15,original sound - Brooke 👩🏼‍🎤,"viral, viralvideo, fyp%E3%82%B7%E3%82%9A, dance",samrosauvage,13400,27,866,29
2,16,Beautiful Things - Benson Boone,,gianni_vigilante,83600,332,4136,2197
2,17,sonido original - Michelle Salvatore🫀✨,kaneandprymrr,kaneandprymrr,46800,483,6080,83
2,18,Originalton - Parmar Das,"foryou, fyp, tiktok",parmar.das,378100,8289,57700,9726
2,19,original sound - Joey Nero,"fyp, foryou",joeynero,439600,2624,46100,1819
2,20,original sound - Gee Gee,"momson, singlemomlife, onlychildlife",sjqquue7288n,2600000,24600,121100,25700
2,21,Elexsandom - Elexsandom,,itsalondramartinez,43900,70,1714,35
2,22,оригинальный звук - ㅤㅤㅤㅤㅤㅤㅤ,,diamantblazi,33200,155,2119,142
3,0,Hot people use this - 𝐗𝐕𝐒꡴,,cegielski_twins,391100,2314,38900,1811
3,1,original sound - I LOVE JESUS♥,"christmas2024, merrychristmas, jesusname, lordamen, happybirthday, thankgod, jesuschrist, america",usa.jesusloveyou,405600,47700,42500,53800
3,2,sonido original - halo,"diamantblazi, seckoff, bball, basketball, fyp, dance, gamewin, gameday, viral, foryou, trend, floridabasketball, florida, usa, usabasketball, trio, dunk",diamantblazi,78700,624,4500,362
3,3,original sound - BAT Choppa,,batchoppa,430300,3742,55600,3054
3,4,sonido original - locura chels,"viral, tiktok, parati, disimular, aaron",wuichao,3800000,16900,378400,127000
3,5,Meow - Dust☆,,caro.mq123,4500000,31800,214200,50500
3,6,original sound - eden 💗💘💞,"crissywakeup, friends",luvv4ede,30400,237,3817,38
3,7,original sound - 승빈Seungbin,,hwangseungbin29,680500,2545,37800,2481
3,8,your number - justspeedsoundzz,,asalundjadan,48700,70,2606,173
3,9,original sound - Jaden,,jadenrabago,72500,130,5875,104
3,10,MOVE YO BODY - Bryansanon,"pourtoi, fyp",cyber.ghetto,71400,1087,14100,925
3,11,original sound - spo6kzie,"fyp, viral, jujuwalk, blowthisup, school, rizz",avas.chronicles,591200,1146,47500,1867
3,12,original sound - ᗪㄖㄩᎶㄚ,"fyp, cops, watchdogs, watchdogs2, xxxtentacion, 4u",dougfaze,689900,2813,89000,2584
3,13,Your number - 𝐋’🎧✰,,skyyjade,35600,409,3459,60
3,14,GTA trend OXL - outxlove,,dariusdobre,63000,1033,6232,204
3,15,original sound - Golden fam,"goldenretriever, %E2%9D%A4%EF%B8%8F, aww",a_golden_fam,9300000,98800,947900,342400
3,16,original sound - danizhe,"fyp, xybcza",danizhe,519900,4951,72200,12400
3,17,original sound - 🧸,"@gabrieloxguevaraa, @itsnicolewallace, culpamia, culpatuya, culpanuestra, nicolewallace, gabrielguevara, viral, perte, perteeeee, fyp%E3%82%B7%E3%82%9Aviral",20nicoleguevara60,413300,403,30800,1386
3,18,soak city (do it) - 310babii,"@auroracollectionresort, fyp",kate.nta.off,48600,54,2868,158
3,19,original sound - gracie ౨ৎ,"@omgvalty, zepeto, zepetogirl, zepetocouple",leylaa.zpt,110400,1619,15100,6643
3,20,original sound - rkempiree,,rkempiiree,117800,1121,20900,2627
3,21,sonido original - Soy Max y ustedes mis maxis,,soymax_chiquito1,2500000,14400,267600,98000
3,22,sonido original - Pulga,"funny, relatable, latina, latino, mom",mosiah.h,573000,4276,99300,9415
3,23,soak city (do it) - 310babii,@m2global,aymspam,282000,344,16800,1768
3,24,Originalton - FNNYVDS,"animals, funny, guineapig, viral",fnnyvdss,906300,2925,102800,13500
3,25,Dandelions (slowed + reverb) - Ruth B. & sped up + slowed,"fyp%E3%82%B7, trending, viral, couple, couplegoals, love, boyfriend, themacfamily",themacfamily,1300000,5542,77100,25400
3,26,som original - elecemaximo22,"fyp, paravoce",samu.holzhacker,160000,498,10800,672
4,0,son original - massymoussi,"@nursejuice, anesthesia, hospital, son, high, funny, goviral, viral",wannaft_banana,148900,989,26300,3216
4,1,original sound - The Gabriels,"@montygeer, comedy, skit, couple",evaandjavier,773100,7621,31200,22100
4,2,original sound - LAI LAI,"atl, fyp, viral, skate",laiiibayyy,3400000,38000,239300,111600
4,3,original sound - ViralBlitz,"viralblitz, viralblitzrealm, fyp, fyp%E3%82%B7%E3%82%9Aviral, viralvideo, viraltiktok, fyp%E3%83%84, funny, funnyvideos, funnymoments, funnytiktok",viralblitzrealm,185300,1641,14300,15400
4,4,original sound - Ryan Tang,,itsyaboyryantang,54200,339,7621,638
4,5,original sound - 𝙁𝙊𝙍𝙀𝙑𝙀𝙍 ✰,"grwm, fyp, viral",grw.forever_,124700,504,10100,220
4,6,Josh Levi BIRTHDAY DANCE - Demilano,"fyp, foryou, viral",pyt.leyleyy,166400,768,24100,1945
4,7,original sound - Laro Benz,"larobenz, viral, blowthisup, funny, comedy, tyrahliani, noelle, girls, fight, kids",larobenz,375200,2227,45400,2038
4,8,original sound - songs.7483,,caty.vicente_,343800,2678,28400,389
4,9,PHONK BRASILEIRO FRESCO - DJ MOIGUS & DJ FKU,"giant, dc, universal, therock, colossus, comics, marvel, store, small, people, sparta, ford, mustang, legday, huge, dior, subway, gucci, partofme, security, newyorkcity",lucaslakutsin,2500000,20100,133600,36200
4,10,original sound - Food Dudes,"easyrecipe, crockpotmeals, familyrecipe, homecooking",fooddudescook,719000,14200,295800,176600
4,11,original sound - Mosiah,"funny, relatable",mosiah.h,314600,1232,45600,2330
