batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Cha Cha - ZEDDY WILL,dothechacha,bebopandbebe,102500,2366,9902,1046
1,1,original sound - fr0sty_rick,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,280800,629,15600,166
1,2,original sound - ABKYS,,aubreykeeyyysss,30400,1340,1129,120
1,3,Mek It Bunx Up - Deewunn & Marcy Chin,,leaelui,1600000,8141,103800,6149
1,4,original sound - JAYLLNN,,realjayllnn,235200,2834,19600,3820
1,5,original sound - emma,,choiemmaa,2400000,12400,148000,2680
1,6,original sound - RiceCuppFamily,,ricecuppfamily,418900,2142,19400,2624
1,7,استعملو الصوت جعلني افداكم - Ah,@gpalase,ike_ike_0,519000,231900,160600,140000
1,8,original sound - CAITLYN JAYE,,caitlyn.jaye,327900,2793,15400,1420
1,9,original sound - Andie Elle,,xxandieelle,14600,112,1753,27
1,10,World A Music - Ini Kamoze,,coral_rafa,6200000,93300,360400,127000
2,0,original sound - Teenu,"fyp, fypage, fyp%E3%82%B7, punjaban, punjabi, interracialcouple, interraciallove, interracial, boricua, puertorico%F0%9F%87%B5%F0%9F%87%B7, %F0%9F%87%B5%F0%9F%87%B7, wepa, %F0%9F%87%AE%F0%9F%87%B3, browngirl, indiantiktok, weare",sparkthebrain_,104900,837,5219,1558
2,1,original sound - Cey&Jai❤️,,itsceyandjai,335400,1234,22500,3119
2,2,sonido original - Kimberly Loaiza,,kimberly.loaiza,1900000,6023,97200,2841
2,3,original sound - 𝐝𝐚𝐧𝐢𝐞𝐥𝐥𝐚 ❥,,dani.chionchio31,202000,357,10400,5275
2,4,original sound - leelee💕,"fyp, foryoupage, fyp%E3%82%B7, viral, fyppppppppppppppppppppppp",leeleebukkz,5000000,69100,398000,145400
2,5,another love - ✨️,"pandaspans, tourettes, tourettessyndrome, foryou, awareness, tics, jawtic",thistrippyhippie,1400000,18800,95600,7321
2,6,original sound - ❥ 🇪🇸◟خويلد ؟,"fyp, ilovebigmelon%F0%9F%8D%92, gorgeousarah",lovebabysarah,140300,1234,20400,2888
2,7,original sound - Claireeee,,clairelizzyxo,102000,215,3368,81
2,8,original sound - Zach Choi,"tiktokfood, asmr",thezachchoi,4900000,25600,520100,85100
2,9,Una Foto Remix - Emilia,,domelipa,1900000,11600,81600,4847
2,10,original sound - gianna,screentimecontrol,giannamjoyce,208100,1792,59700,1577
2,11,original sound - Eliza,"singlewoman, divorced",eliza.1iza,108200,41600,4226,5495
2,12,original sound - JAYLLNN,redbull,realjayllnn,399400,2911,23500,3429
2,13,Rave no Escurinho Bota a Mão na Parede - Davizin & MC TOPRE,,gemelasabello2,674000,2931,27500,1766
2,14,Lemme get that - Frizz🗽.,,sophieraiin,323800,630,35600,1392
2,15,Ick - Alt Ending - Lay Bankz,"hegavemetheew, makeuplover, trendingsound",krissleos,96900,1104,9842,658
2,16,orijinal ses - caner,"@salishmattersx, fyp, viral, salishmatter, fyppppppppppppppppppppppp, viralvideo, tiktok, dance, befamous, fyp, salishmatter, nidalwonder, popular, viral, realsalishaccount, bestfriends, duo, everywhereigo, trend, trending",nidalspams,510300,3834,39300,965
2,17,ENOUGH! - Eternxlkz,@09.02.600,di1araa.s,213000,2823,19900,1349
2,18,original sound - Raihann,,sylviaquezada619,5900000,33600,601300,114500
2,19,original sound - olivia ♡,"@dior, @foreo, @theouai, @summerfridays, @glossier, @drunkelephant, @tula, @lululemon, @alo, asmr, morningroutine, cleangirl, thatgirl, skincare, pinkpilatesprincess",olafflee,99100,412,8451,402
2,20,original sound - Teacher Tori,"test, professor, correction, school, teacher, englishteacher",teachertoristuff,780400,21500,43600,21300
2,21,original sound - Brittany Thompson,ihaveawhitemom,brittanynicolethompson,186900,2818,3939,2987
2,22,original sound - KhianKB,"badpeoplescardgame, dycegamespartner, edno, khiankb, comedy, funny",khian.kb,325200,1042,34700,4223
2,23,"Down, Up! - BabyTron",kaneandprymr,kaneandprymrr,76700,155,4624,129
2,24,Shameless - Camila Cabello,"gymtransformation, weightlosstransformation, gym",theprettybiggirl917,3300000,18100,93900,10500
3,0,original sound - Jasmin & Julio,"challenge, matching, matchthecolor, waterbottle, colors, coupleschallenge, games, marriage, husbandwife",jasminandjulio,218300,601,8637,1384
3,1,original sound - Meiling Choy,"cubanchinese, cuban, chinese",meilingchoy,472800,2567,17300,1970
3,2,Feeling Good - Michael Bublé,"momanddaughter, mylittlebarbie%F0%9F%92%97%F0%9F%92%97",subashawn,466800,2076,13900,1018
3,3,My Type - Saweetie,"couplesoftiktok, couplegoals, couplelove, foruyou, foryourpage",wilsonandtania,152700,145,5889,637
3,4,original sound - DeBilalo,,debilalo,488800,5206,31100,9040
3,5,original sound - SohaLove,"movie, fyp, tiktok",sohalove4,32000,98,3038,62
3,6,Out of My League - Fitz and The Tantrums,joranpa,jorgepatino8,502300,4223,46900,15200
3,7,sonido original - halo,"diamantblazi, seckoff, bball, basketball, fyp, dance, gamewin, gameday, viral, foryou, trend, floridabasketball, florida, usa, usabasketball, trio, dunk, sportstiktok",diamantblazi,196300,3200,14300,1941
3,8,original sound - thick bunny,@weakrizz,thickbunnyx,8519,42,1166,83
3,9,greedy - Tate McRae,,augustogimenez,1300000,1572,28800,2093
3,10,original sound - TIANA ᥫ᭡,@cassandramaedavis26,kels.aff,161100,822,10600,943
3,11,"Automotivo XM, Taka Taka Taka Tá - Dj Brunin XM & Mc Lullu & Mc Erikah & Kinechan",@09.02.600,di1araa.s,499900,3303,47500,2849
3,12,original sound - Glory Saget-Newell,"foryou, foryoupage, fyp%E3%82%B7%E3%82%9Aviral, viralvideo, haitiantiktokers, haitiantiktok%F0%9F%87%AD%F0%9F%87%B9, carribean, imhaitian%F0%9F%87%AD%F0%9F%87%B9, imhaitianchallenge, imhaitianofcourse, trending, haitiantiktok509",glorysagetnewell,14700,159,769,71
3,13,original sound - emotionallove,"fyp, bestfriend, foryou, fortnite",katietokkk,746300,13700,35700,10600
3,14,original sound - European kid,,theeuropeankid,696600,2037,28700,1867
